TEAM_ID,season,Team
1610612753,2016-17,Magic
1610612738,2017-18,Celtics
1610612751,2017-18,Nets
1610612754,2017-18,Pacers
1610612755,2017-18,76ers
1610612757,2017-18,Trail Blazers
1610612745,2017-18,Rockets
1610612766,2017-18,Hornets
1610612739,2017-18,Cavaliers
1610612761,2017-18,Raptors
1610612737,2017-18,Hawks
1610612750,2017-18,Timberwolves
1610612763,2017-18,Grizzlies
1610612741,2017-18,Bulls
1610612742,2017-18,Mavericks
1610612740,2017-18,Pelicans
1610612759,2017-18,Spurs
1610612748,2017-18,Heat
1610612747,2017-18,Lakers
1610612756,2017-18,Suns
1610612753,2017-18,Magic
1610612762,2017-18,Jazz
1610612760,2017-18,Thunder
1610612764,2017-18,Wizards
1610612743,2017-18,Nuggets
1610612749,2017-18,Bucks
1610612752,2017-18,Knicks
1610612758,2017-18,Kings
1610612744,2017-18,Warriors
1610612765,2017-18,Pistons
1610612746,2017-18,Clippers
