game_id,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,player,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,game_date,season,Team,Relinquished,Notes
21000736,1610612750.0,MIN,Minnesota,201563.0,Michael Beasley,F,,12.633333333333333,101.2,103.4,133.0,139.3,-31.8,-35.8,0.1,1.0,11.1,0.083,0.0,0.045,11.1,0.28600000000000003,0.28600000000000003,0.22899999999999998,0.23800000000000002,112.01,108.28,90.24,29.0,-0.02,2011-02-04,2010-11,Timberwolves,Michael Beasley,left ankle injury (DTD)
21000747,1610612757.0,POR,Portland,201967.0,Dante Cunningham,C,,13.216666666666667,109.0,108.0,121.2,115.4,-12.1,-7.4,0.0,0.0,0.0,0.077,0.1,0.087,0.0,0.429,0.429,0.25,0.252,89.92,92.61,77.18,25.0,0.061,2011-02-05,2010-11,Blazers,Dante Cunningham,facial injury (DNP)
21000757,1610612738.0,BOS,Boston,2605.0,Marquis Daniels,,,3.716666666666667,68.0,50.0,44.4,57.1,23.6,-7.1,0.0,0.0,0.0,0.0,0.14300000000000002,0.111,0.0,0.0,0.0,0.0,0.0,96.09,96.86,80.72,8.0,0.667,2011-02-06,2010-11,Celtics,Marquis Daniels,bruised spinal cord (out indefinitely)
21000881,1610612739.0,CLE,Cleveland,1712.0,Antawn Jamison,F,,29.7,86.1,86.2,104.0,107.0,-17.9,-20.8,0.0,0.0,0.0,0.0,0.138,0.068,16.7,0.5,0.5379999999999999,0.281,0.28600000000000003,94.27,92.91,77.42,58.0,0.09300000000000001,2011-02-27,2010-11,Cavaliers,Antawn Jamison,broken left little finger (out indefinitely)
21001049,1610612759.0,SAS,San Antonio,1495.0,Tim Duncan,F,,4.216666666666667,161.9,160.0,70.9,70.0,91.1,90.0,0.0,0.0,0.0,0.0,0.429,0.375,0.0,1.0,1.0,0.2,0.20199999999999999,112.47,113.83,94.86,10.0,0.28800000000000003,2011-03-21,2010-11,Spurs,Tim Duncan,sprained left ankle (out indefinitely)
21001061,1610612762.0,UTA,Utah,1905.0,Andrei Kirilenko,F,,13.7,83.4,85.7,117.7,103.6,-34.2,-17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.161,0.163,93.57,98.13,81.77,28.0,0.019,2011-03-23,2010-11,Jazz,Andrei Kirilenko,bruised left knee (DTD)
21001144,1610612753.0,ORL,Orlando,201583.0,Ryan Anderson,,,19.083333333333332,108.3,115.8,125.0,118.9,-16.7,-3.1,0.067,0.0,20.0,0.0,0.2,0.081,0.0,0.75,0.75,0.095,0.094,95.4,94.35,78.62,38.0,0.125,2011-04-03,2010-11,Magic,Ryan Anderson,placed on IL (out for season)
21001215,1610612747.0,LAL,Los Angeles,101115.0,Andrew Bynum,C,,13.066666666666666,96.0,96.3,93.2,88.9,2.8,7.4,0.0,0.0,0.0,0.0,0.25,0.129,0.0,0.667,0.667,0.107,0.111,97.05,99.18,82.65,27.0,0.163,2011-04-12,2010-11,Lakers,Andrew Bynum,hyperextended right knee (left game)
21100001,1610612752.0,NYK,New York,202697.0,Iman Shumpert,,,22.033333333333335,92.4,93.8,119.8,119.6,-27.4,-25.8,0.077,0.5,5.6,0.045,0.16699999999999998,0.1,11.1,0.231,0.36200000000000004,0.309,0.322,103.06,102.37,85.31,48.0,0.02,2011-12-25,2011-12,Knicks,Iman Shumpert,sprained MCL in right knee (out indefinitely)
21100072,1610612759.0,SAS,San Antonio,1938.0,Manu Ginobili,G,,12.666666666666666,135.7,126.9,153.5,152.0,-17.8,-25.1,0.2,0.0,25.0,0.0,0.28600000000000003,0.105,0.0,0.583,0.621,0.207,0.22,92.99,96.63,80.53,26.0,0.122,2012-01-02,2011-12,Spurs,Manu Ginobili,broken bone in left hand (out indefinitely)
