game_date,season,Team,Relinquished,Notes,player
2010-10-26,2010-11,Blazers,Elliot Williams,placed on IL,Elliot Williams
2010-10-26,2010-11,Blazers,Greg Oden,placed on IL with left knee injury (out for season),Greg Oden
2010-10-26,2010-11,Blazers,Joel Przybilla,placed on IL placed on IL recovering from surgery on right knee to repair ruptured patella tendon,Joel Przybilla
2010-10-26,2010-11,Celtics,Avery Bradley,placed on IL recovering from surgery on left ankle,Avery Bradley
2010-10-26,2010-11,Celtics,Kendrick Perkins,placed on IL recovering from surgery on right knee to repair torn ACL,Kendrick Perkins
2010-10-26,2010-11,Celtics,Luke Harangody,placed on IL,Luke Harangody
2010-10-26,2010-11,Heat,Dexter Pittman,placed on IL,Dexter Pittman
2010-10-26,2010-11,Heat,Jerry Stackhouse,placed on IL,Jerry Stackhouse
2010-10-26,2010-11,Heat,Mario Chalmers,sprained ankle (out indefinitely),Mario Chalmers
2010-10-26,2010-11,Heat,Mike Miller,placed on IL recovering from surgery on right hand to repair a broken thumb and ligament damage,Mike Miller
2010-10-26,2010-11,Lakers,Andrew Bynum,placed on IL recovering from surgery on right knee to repair torn ligaments,Andrew Bynum
2010-10-26,2010-11,Lakers,Luke Walton,placed on IL with strained right hamstring,Luke Walton
2010-10-26,2010-11,Rockets,Jermaine Taylor,placed on IL,Jermaine Taylor
2010-10-26,2010-11,Rockets,Kyle Lowry,placed on IL with back spasms,Kyle Lowry
2010-10-26,2010-11,Rockets,Patrick Patterson,placed on IL,Patrick Patterson
2010-10-26,2010-11,Suns,Gani Lawal,placed on IL,Gani Lawal
2010-10-27,2010-11,76ers,Craig Brackins,placed on IL,Craig Brackins
2010-10-27,2010-11,76ers,Jodie Meeks,placed on IL,Jodie Meeks
2010-10-27,2010-11,Bobcats,Dominic McGuire,placed on IL with stress fracture in left shin,Dominic McGuire
2010-10-27,2010-11,Bobcats,Eduardo Najera,placed on IL with sports hernia,Eduardo Najera
2010-10-27,2010-11,Bobcats,Kwame Brown,placed on IL with sprained left ankle,Kwame Brown
2010-10-27,2010-11,Bucks,Chris Douglas-Roberts,placed on IL with right eye injury,Chris Douglas-Roberts
2010-10-27,2010-11,Bucks,Jon Brockman,sprained left ankle (DNP),Jon Brockman
2010-10-27,2010-11,Bucks,Luc Mbah a Moute,sprained right ankle (DNP),Luc Mbah a Moute
2010-10-27,2010-11,Bucks,Michael Redd,placed on IL recovering from surgery on left knee to repair torn ACL,Michael Redd
2010-10-27,2010-11,Bulls,Carlos Boozer,placed on IL with fractured bone in right pinky finger,Carlos Boozer
2010-10-27,2010-11,Cavaliers,Christian Eyenga,placed on IL,Christian Eyenga
2010-10-27,2010-11,Cavaliers,Mo Williams,placed on IL with groin injury,Mo Williams
2010-10-27,2010-11,Cavaliers,Samardo Samuels,placed on IL,Samardo Samuels
2010-10-27,2010-11,Clippers,Craig Smith,placed on IL with back injury,Craig Smith
2010-10-27,2010-11,Clippers,Willie Warren,placed on IL,Willie Warren
2010-10-27,2010-11,Grizzlies,Greivis Vasquez,placed on IL recovering from surgery on right ankle to remove bone spur,Greivis Vasquez
2010-10-27,2010-11,Grizzlies,Marc Gasol,placed on IL with sprained right ankle / left ankle,Marc Gasol
2010-10-27,2010-11,Hawks,Etan Thomas,placed on IL,Etan Thomas
2010-10-27,2010-11,Hawks,Pape Sy,placed on IL with strained lower back,Pape Sy
2010-10-27,2010-11,Heat,Jamaal Magloire,placed on IL,Jamaal Magloire
2010-10-27,2010-11,Hornets,Aaron Gray,placed on IL,Aaron Gray
2010-10-27,2010-11,Hornets,Joe Alexander,placed on IL,Joe Alexander
2010-10-27,2010-11,Hornets,Quincy Pondexter,placed on IL,Quincy Pondexter
2010-10-27,2010-11,Jazz,Mehmet Okur,placed on IL recovering from surgery to repair torn left Achilles tendon,Mehmet Okur
2010-10-27,2010-11,Kings,Antoine Wright,placed on IL,Antoine Wright
2010-10-27,2010-11,Kings,Samuel Dalembert,placed on IL with strained left abductor,Samuel Dalembert
2010-10-27,2010-11,Knicks,Anthony Randolph,placed on IL with sprained left ankle,Anthony Randolph
2010-10-27,2010-11,Knicks,Eddy Curry,placed on IL with strained right hamstring,Eddy Curry
2010-10-27,2010-11,Knicks,Kelenna Azubuike,placed on IL recovering from arthroscopic surgery on right knee,Kelenna Azubuike
2010-10-27,2010-11,Mavericks,Alex Ajinca,placed on IL,Alexis Ajinca
2010-10-27,2010-11,Mavericks,Rodrigue Beaubois,placed on IL with fractured left foot,Rodrigue Beaubois
2010-10-27,2010-11,Mavericks,Steve Novak,placed on IL,Steve Novak
2010-10-27,2010-11,Nets,Ben Uzoh,placed on IL,Ben Uzoh
2010-10-27,2010-11,Nets,Quinton Ross,placed on IL,Quinton Ross
2010-10-27,2010-11,Nets,Troy Murphy,placed on IL with strained lower back,Troy Murphy
2010-10-27,2010-11,Nuggets,Chris Andersen,placed on IL recovering from surgery on right knee to repair partially torn patella tendon,Chris Andersen
2010-10-27,2010-11,Nuggets,Kenyon Martin,placed on IL recovering from surgery on left knee,Kenyon Martin
2010-10-27,2010-11,Pacers,A.J. Price,placed on IL,AJ Price
2010-10-27,2010-11,Pacers,Dahntay Jones,placed on IL,Dahntay Jones
2010-10-27,2010-11,Pacers,Lance Stephenson,placed on IL,Lance Stephenson
2010-10-27,2010-11,Pistons,Chris Wilcox,placed on IL with sore left hamstring,Chris Wilcox
2010-10-27,2010-11,Pistons,Jonas Jerebko,placed on IL recovering from surgery to repair torn right Achilles tendon (out for season),Jonas Jerebko
2010-10-27,2010-11,Raptors,Ed Davis ,placed on IL recovering from arthroscopic surgery on right kene to repair torn meniscus,Ed Davis
2010-10-27,2010-11,Raptors,Marcus Banks,placed on IL,Marcus Banks
2010-10-27,2010-11,Raptors,Solomon Alabi,placed on IL,Solomon Alabi
2010-10-27,2010-11,Rockets,Yao Ming,placed on IL,Yao Ming
2010-10-27,2010-11,Spurs,Alonzo Gee,placed on IL,Alonzo Gee
2010-10-27,2010-11,Spurs,Tiago Splitter,placed on IL with strained right plantaris muscle / calf injury (CBC),Tiago Splitter
2010-10-27,2010-11,Thunder,B.J. Mullens,placed on IL,Byron Mullens
2010-10-27,2010-11,Thunder,Morris Peterson,placed on IL,Morris Peterson
2010-10-27,2010-11,Thunder,Nick Collison,placed on IL with stress reaction in lower left leg,Nick Collison
2010-10-27,2010-11,Timberwolves,Jonny Flynn,placed on IL recovering from surgery on left hip,Jonny Flynn
2010-10-27,2010-11,Timberwolves,Martell Webster,placed on IL recovering from surgery on back,Martell Webster
2010-10-27,2010-11,Timberwolves,Maurice Ager,placed on IL with bruised left quadriceps,Maurice Ager
2010-10-27,2010-11,Warriors,Ekpe Udoh,placed on IL recovering from surgery on left wrist,Ekpe Udoh
2010-10-27,2010-11,Warriors,Jeremy Lin,placed on IL,Jeremy Lin
2010-10-27,2010-11,Warriors,Lou Amundson,placed on IL recovering from surgery to repair fractured right index finger,Lou Amundson
2010-10-28,2010-11,Grizzlies,Zach Randolph,back injury (DTD),Zach Randolph
2010-10-28,2010-11,Hawks,Maurice Evans,right knee inflammation (DTD),Maurice Evans
2010-10-28,2010-11,Magic,Daniel Orton,placed on IL,Daniel Orton
2010-10-28,2010-11,Magic,Malik Allen,placed on IL,Malik Allen
2010-10-28,2010-11,Spurs,Matt Bonner,sprained right ankle (DTD),Matt Bonner
2010-10-28,2010-11,Wizards,Gilbert Arenas,placed on IL with sprained right ankle,Gilbert Arenas
2010-10-28,2010-11,Wizards,Josh Howard,placed on IL with torn ACL in left knee,Josh Howard
2010-10-28,2010-11,Wizards,Kevin Seraphin,placed on IL,Kevin Seraphin
2010-10-29,2010-11,Celtics,Jermaine O'Neal,placed on IL with left knee injury,Jermaine O'Neal
2010-10-29,2010-11,Grizzlies,Zach Randolph,placed on IL with bruised tailbone,Zach Randolph
2010-10-29,2010-11,Hawks,Maurice Evans,placed on IL with right knee inflammation,Maurice Evans
2010-10-29,2010-11,Heat,Juwan Howard,placed on IL,Juwan Howard
2010-10-29,2010-11,Kings,Pooh Jeter,placed on IL,Pooh Jeter
2010-10-29,2010-11,Kings,Hassan Whiteside,placed on IL,Hassan Whiteside
2010-10-29,2010-11,Pistons,Will Bynum,sore right hamstring (DNP),Will Bynum
2010-10-29,2010-11,Raptors,Joey Dorsey,placed on IL,Joey Dorsey
2010-10-29,2010-11,Warriors,Jeff Adrien,placed on IL,Jeff Adrien
2010-10-30,2010-11,Cavaliers,Samardo Samuels,placed on IL,Samardo Samuels
2010-10-30,2010-11,Grizzlies,Xavier Henry,placed on IL,Xavier Henry
2010-10-30,2010-11,Pacers,Jeff Foster,placed on IL,Jeff Foster
2010-10-30,2010-11,Pistons,Will Bynum,sore right hamstring (DNP),Will Bynum
2010-10-30,2010-11,Rockets,Ish Smith,placed on IL,Ish Smith
2010-10-30,2010-11,Spurs,Matt Bonner,placed on IL with sprained right ankle,Matt Bonner
2010-10-31,2010-11,Clippers,Randy Foye,placed on IL with strained left hamstring,Randy Foye
2010-10-31,2010-11,Warriors,Stephen Curry,placed on IL with sprained right ankle,Stephen Curry
2010-11-01,2010-11,Clippers,Baron Davis,placed on IL with sore left knee,Baron Davis
2010-11-01,2010-11,Raptors,Marcus Banks,placed on IL,Marcus Banks
2010-11-01,2010-11,Spurs,Alonzo Gee,placed on IL,Alonzo Gee
2010-11-02,2010-11,Blazers,Patty Mills,placed on IL,Patty Mills
2010-11-02,2010-11,Cavaliers,Antawn Jamison,placed on IL with sore left knee,Antawn Jamison
2010-11-02,2010-11,Celtics,Shaquille O'Neal,placed on IL with bruised right knee,Shaquille O'Neal
2010-11-02,2010-11,Grizzlies,Greivis Vasquez,placed on IL,Greivis Vasquez
2010-11-02,2010-11,Heat,Jamaal Magloire,placed on IL,Jamaal Magloire
2010-11-02,2010-11,Pistons,Richard Hamilton,sore right foot (DNP),Richard Hamilton
2010-11-02,2010-11,Pistons,Will Bynum,sore right hamstring (DNP),Will Bynum
2011-03-28,2010-11,76ers,Tony Battie,illness (DTD),Tony Battie
2011-03-28,2010-11,Bucks,Chris Douglas-Roberts,placed on IL with right ankle injury,Chris Douglas-Roberts
2011-03-28,2010-11,Celtics,Troy Murphy,sprained right ankle (DNP),Troy Murphy
2011-03-28,2010-11,Jazz,Andrei Kirilenko,nerve damage in left knee (DNP),Andrei Kirilenko
2011-03-28,2010-11,Jazz,Kyrylo Fesenko,migraine headache (DNP),Kyrylo Fesenko
2011-03-28,2010-11,Magic,J.J. Redick,lower abdominal strain (DNP),JJ Redick
2011-03-28,2010-11,Magic,Jameer Nelson,sprained left knee (DNP),Jameer Nelson
2011-03-28,2010-11,Spurs, Tony Parker,bruised left patella (DNP),Tony Parker
2011-03-28,2010-11,Spurs,Antonio McDyess,bruised lower back (DNP),Antonio McDyess
2011-03-28,2010-11,Spurs,Manu Ginobili,placed on IL with bruised left quadriceps,Manu Ginobili
2011-03-28,2010-11,Wizards,Nick Young,bruised left knee (DNP),Nick Young
2011-03-28,2010-11,Wizards,Trevor Booker,sore right foot (DNP),Trevor Booker
2010-11-03,2010-11,Grizzlies,DeMarre Carroll,placed on IL,DeMarre Carroll
2010-11-03,2010-11,Hawks,Jamal Crawford,turf toe (DNP),Jamal Crawford
2010-11-03,2010-11,Hornets,Peja Stojakovic,placed on IL,Peja Stojakovic
2010-11-03,2010-11,Jazz,Jeremy Evans,sprained right wrist (DNP),Jeremy Evans
2010-11-03,2010-11,Jazz,Kyrylo Fesenko,stomach illness (DNP),Kyrylo Fesenko
2010-11-03,2010-11,Nets,Joe Smith ,placed on IL,Joe Smith
2010-11-03,2010-11,Nets,Stephen Graham,placed on IL,Stephen Graham
2010-11-03,2010-11,Nuggets,Nene Hilario ,strained left groin (DNP),Nene
2010-11-03,2010-11,Pistons,Richard Hamilton,sore right foot (DNP),Richard Hamilton
2010-11-03,2010-11,Pistons,Will Bynum,sore right hamstring (DNP),Will Bynum
2010-11-03,2010-11,Rockets,Jermaine Taylor,placed on IL,Jermaine Taylor
2010-11-03,2010-11,Spurs,George Hill,placed on IL with neck injury,George Hill
2010-11-03,2010-11,Timberwolves,Michael Beasley,placed on IL with bruised left hip,Michael Beasley
2010-11-03,2010-11,Warriors,Brandan Wright,stomach virus (DTD),Brandan Wright
2010-11-04,2010-11,Blazers,Elliot Williams,"dislocated patella in right knee (surgery, out for season)",Elliot Williams
2010-11-04,2010-11,Knicks,Shawne Williams,placed on IL,Shawne Williams
2010-11-05,2010-11,Bucks,Andrew Bogut,migraine headache (DNP),Andrew Bogut
2010-11-05,2010-11,Grizzlies,Hamed Haddadi,placed on IL,Hamed Haddadi
2010-11-05,2010-11,Hawks,Marvin Williams,bone bruise in right knee (DNP),Marvin Williams
2010-11-05,2010-11,Jazz,Jeremy Evans,sprained right ankle (DNP),Jeremy Evans
2010-11-05,2010-11,Lakers,Devin Ebanks,placed on IL,Devin Ebanks
2010-11-05,2010-11,Nuggets,Nene Hilario ,strained left groin (DNP),Nene
2010-11-05,2010-11,Timberwolves,Maurice Ager,placed on IL,Maurice Ager
2010-11-05,2010-11,Warriors,Jeremy Lin,placed on IL,Jeremy Lin
2010-11-06,2010-11,Blazers,Elliot Williams,"placed on IL with dislocated patella in right knee (surgery, out for season)",Elliot Williams
2010-11-06,2010-11,Blazers,Rudy Fernandez,back injury (DNP),Rudy Fernandez
2010-11-06,2010-11,Heat,Juwan Howard,placed on IL,Juwan Howard
2010-11-06,2010-11,Magic,Jameer Nelson,placed on IL with sprained left ankle,Jameer Nelson
2010-11-06,2010-11,Nuggets,Nene Hilario ,strained left groin (DNP),Nene
2010-11-06,2010-11,Raptors,Sonny Weems,ankle injury (DTD),Sonny Weems
2010-11-06,2010-11,Raptors,Sonny Weems,placed on IL with ankle injury,Sonny Weems
2010-11-06,2010-11,Rockets,Kyle Lowry,placed on IL with sore back,Kyle Lowry
2010-11-06,2010-11,Rockets,Yao Ming,placed on IL with foot injury / rest,Yao Ming
2010-11-07,2010-11,76ers,Andre Iguodala,placed on IL with right Achilles tendon injury,Andre Iguodala
2010-11-07,2010-11,Hawks,Marvin Williams,bone bruise in right knee (DNP),Marvin Williams
2010-11-07,2010-11,Rockets,Aaron Brooks,placed on IL with sprained left ankle,Aaron Brooks
2010-11-07,2010-11,Thunder,Jeff Green,placed on IL with sprained left ankle,Jeff Green
2010-11-07,2010-11,Timberwolves,Lazar Hayward,placed on IL,Lazar Hayward
2010-11-07,2010-11,Warriors,Jeff Adrien,placed on IL,Jeff Adrien
2010-11-08,2010-11,Hawks,Marvin Williams,bone bruise in right knee (DNP),Marvin Williams
2010-11-08,2010-11,Magic,Mickael Pietrus,DNP,Mickael Pietrus
2010-11-08,2010-11,Raptors,Joey Dorsey,placed on IL,Joey Dorsey
2010-11-08,2010-11,Spurs,Garrett Temple,placed on IL,Garrett Temple
2010-11-09,2010-11,Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino
2010-11-09,2010-11,Cavaliers,Manny Harris,placed on IL,Manny Harris
2010-11-09,2010-11,Clippers,Eric Gordon,placed on IL with left shoulder injury,Eric Gordon
2010-11-09,2010-11,Lakers,Derrick Caracter,placed on IL,Derrick Caracter
2010-11-09,2010-11,Nets,Terrence Williams,placed on IL with lower abdominal strain,Terrence Williams
2010-11-09,2010-11,Timberwolves,Luke Ridnour,placed on IL with strained hamstring,Luke Ridnour
2010-11-10,2010-11,Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino
2010-11-10,2010-11,Clippers,Baron Davis,placed on IL with sore left knee,Baron Davis
2010-11-10,2010-11,Clippers,Chris Kaman,sprained left ankle (DNP),Chris Kaman
2010-11-10,2010-11,Hawks,Marvin Williams,bone bruise in right knee (DNP),Marvin Williams
2010-11-10,2010-11,Kings,Pooh Jeter,placed on IL,Pooh Jeter
2010-11-10,2010-11,Kings,Hassan Whiteside,placed on IL,Hassan Whiteside
2010-11-10,2010-11,Knicks,Ronny Turiaf,placed on IL with sprained left knee,Ronny Turiaf
2010-11-10,2010-11,Magic,Malik Allen,placed on IL,Malik Allen
2010-11-10,2010-11,Mavericks,Caron Butler,placed on IL with back spasms,Caron Butler
2010-11-10,2010-11,Nets,Stephen Graham,placed on IL,Stephen Graham
2010-11-10,2010-11,Nets,Troy Murphy,placed on IL with sore right foot,Troy Murphy
2010-11-10,2010-11,Raptors,David Andersen,flu (DTD),David Andersen
2010-11-10,2010-11,Raptors,Leandro Barbosa,placed on IL with strained left shoulder,Leandro Barbosa
2010-11-10,2010-11,Rockets,Jermaine Taylor,placed on IL,Jermaine Taylor
2010-11-10,2010-11,Timberwolves,Wayne Ellington,thigh injury (DTD),Wayne Ellington
2010-11-10,2010-11,Warriors,Dan Gadzuric,placed on IL with back spasms,Dan Gadzuric
2010-11-10,2010-11,Wizards,Kevin Seraphin,placed on IL,Kevin Seraphin
2010-11-10,2010-11,Wizards,Lester Hudson,placed on IL,Lester Hudson
2010-11-10,2010-11,Clippers,Eric Gordon,sore left shoulder (DNP),Eric Gordon
2010-11-11,2010-11,Celtics,Jermaine O'Neal,sore left knee (DNP),Jermaine O'Neal
2010-11-11,2010-11,Lakers,Theo Ratliff,placed on IL with left knee tendinitis,Theo Ratliff
2010-11-11,2010-11,Rockets,Yao Ming,sprained left ankle (DTD),Yao Ming
2010-11-11,2010-11,Spurs,James Anderson,stress fracture in right foot (out indefinitely),James Anderson
2010-11-11,2010-11,Warriors,David Lee,placed on IL with infection in left elbow,David Lee
2010-11-12,2010-11,76ers,Craig Brackins,placed on IL,Craig Brackins
2010-11-12,2010-11,76ers,Darius Songaila,placed on IL,Darius Songaila
2010-11-12,2010-11,Clippers,Chris Kaman,placed on IL with knee injury (P),Chris Kaman
2010-11-12,2010-11,Hawks,Etan Thomas,placed on IL,Etan Thomas
2010-11-12,2010-11,Raptors,David Andersen,placed on IL with flu,David Andersen
2010-11-12,2010-11,Raptors,Linas Kleiza,placed on IL with right Achilles tendinitis,Linas Kleiza
2010-11-12,2010-11,Rockets,Yao Ming,placed on IL with sprained left ankle (later diagnosed as stress fracture in left ankle),Yao Ming
2010-11-12,2010-11,Warriors,David Lee,surgery on left elbow to repair infection,David Lee
2010-11-12,2010-11,Clippers,Randy Foye,strained left hamstring (DNP),Randy Foye
2010-11-13,2010-11,Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino
2010-11-13,2010-11,Cavaliers,Anderson Varejao,placed on IL with bruised ribs,Anderson Varejao
2010-11-13,2010-11,Cavaliers,Mo Williams,placed on IL with strained left groin,Mo Williams
2010-11-13,2010-11,Celtics,Jermaine O'Neal,sore left knee (DNP),Jermaine O'Neal
2010-11-13,2010-11,Heat,Jamaal Magloire,placed on IL,Jamaal Magloire
2010-11-13,2010-11,Hornets,Marcus Thornton ,placed on IL,Marcus Thornton
2010-11-13,2010-11,Nets,Joe Smith ,placed on IL,Joe Smith
2010-11-13,2010-11,Raptors,Ed Davis ,placed on IL,Ed Davis
2010-11-13,2010-11,Raptors,Reggie Evans,flu-like symptoms (DNP),Reggie Evans
2010-11-13,2010-11,Spurs,James Anderson,placed on IL with stress fracture in right foot,James Anderson
2010-11-14,2010-11,Lakers,Steve Blake,placed on IL with stomach ache,Steve Blake
2010-11-14,2010-11,Pistons,DaJuan Summers,placed on IL,DaJuan Summers
2010-11-14,2010-11,Rockets,Chase Budinger,sprained left ankle (DNP),Chase Budinger
2010-11-14,2010-11,Thunder,B.J. Mullens,placed on IL,Byron Mullens
2010-11-14,2010-11,Thunder,Daequan Cook,placed on IL,Daequan Cook
2010-11-14,2010-11,Timberwolves,Nikola Pekovic,sprained left ankle (DNP),Nikola Pekovic
2010-11-14,2010-11,Timberwolves,Wayne Ellington,bruised left thigh (DNP),Wayne Ellington
2010-11-15,2010-11,Bobcats,Gerald Henderson Jr.,placed on IL with sore left knee,Gerald Henderson
2010-11-15,2010-11,Clippers,Randy Foye,strained left hamstring (DNP),Randy Foye
2010-11-15,2010-11,Jazz,Raja Bell,strained left abductor (DNP),Raja Bell
2010-11-15,2010-11,Magic,J.J. Redick,placed on IL with back spasms,JJ Redick
2010-11-15,2010-11,Nets,Damion James,placed on IL,Damion James
2010-11-15,2010-11,Suns,Robin Lopez,placed on IL with sprained ligaments in left knee,Robin Lopez
2010-11-15,2010-11,Thunder,Jeff Green,placed on IL with sprained left ankle,Jeff Green
2010-11-15,2010-11,Timberwolves,Nikola Pekovic,left foot injury (DNP),Nikola Pekovic
2010-11-15,2010-11,Timberwolves,Wayne Ellington,bruised left thigh (DNP),Wayne Ellington
2010-11-16,2010-11,76ers,Andre Iguodala,placed on IL with right Achilles tendon injury,Andre Iguodala
2010-11-16,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy
2010-11-16,2010-11,Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino
2010-11-16,2010-11,Cavaliers,Samardo Samuels,placed on IL,Samardo Samuels
2010-11-16,2010-11,Knicks,Shawne Williams,placed on IL,Shawne Williams
2010-11-16,2010-11,Lakers,Theo Ratliff,placed on IL recovering from arthroscopic surgery on left knee to remove part of torn meniscus,Theo Ratliff
2010-11-16,2010-11,Pacers,Darren Collison,placed on IL with sprained left ankle,Darren Collison
2010-11-16,2010-11,Pacers,Tyler Hansbrough,placed on IL with sprained left ankle,Tyler Hansbrough
2010-11-16,2010-11,Raptors,Solomon Alabi,placed on IL,Solomon Alabi
2010-11-16,2010-11,Wizards,John Wall ,placed on IL with sprained left foot,John Wall
2010-11-16,2010-11,Wizards,Jianlian Yi,placed on IL with bruised right knee,Yi Jianlian
2010-11-17,2010-11,Celtics,Jermaine O'Neal,placed on IL,Jermaine O'Neal
2010-11-17,2010-11,Clippers,Randy Foye,strained left hamstring (DNP),Randy Foye
2010-11-17,2010-11,Jazz,Kyrylo Fesenko,dizziness (DNP),Kyrylo Fesenko
2010-11-17,2010-11,Mavericks,Steve Novak,placed on IL,Steve Novak
2010-11-17,2010-11,Nets,Ben Uzoh,placed on IL,Ben Uzoh
2010-11-17,2010-11,Nets,Troy Murphy,placed on IL with sore right foot,Troy Murphy
2010-11-17,2010-11,Rockets,Chase Budinger,sprained left ankle (DNP),Chase Budinger
2010-11-17,2010-11,Thunder,Cole Aldrich,placed on IL,Cole Aldrich
2010-11-17,2010-11,Timberwolves,Nikola Pekovic,placed on IL with sprained left ankle,Nikola Pekovic
2010-11-18,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy
2010-11-18,2010-11,Magic,Jason Williams,foot injury (DTD),Jason Williams
2010-11-19,2010-11,Blazers,Greg Oden,mircofracture surgery on left knee (out for season),Greg Oden
2010-11-19,2010-11,Bobcats,Eduardo Najera,placed on IL,Eduardo Najera
2010-11-19,2010-11,Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino
2010-11-19,2010-11,Cavaliers,Manny Harris,placed on IL,Manny Harris
2010-11-19,2010-11,Heat,Juwan Howard,broken nose (DNP),Juwan Howard
2010-11-19,2010-11,Knicks,Timofey Mozgov,left calf injury (DNP),Timofey Mozgov
2010-11-19,2010-11,Nets,Terrence Williams,placed on IL,Terrence Williams
2010-11-19,2010-11,Thunder,Kevin Durant,placed on IL with sprained left ankle,Kevin Durant
2010-11-19,2010-11,Warriors,Brandan Wright,strained lower back (DNP),Brandan Wright
2010-11-20,2010-11,Blazers,Brandon Roy,sore left knee (DNP),Brandon Roy
2010-11-20,2010-11,Bobcats,Kwame Brown,placed on IL,Kwame Brown
2010-11-20,2010-11,Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino
2010-11-20,2010-11,Heat,Dwyane Wade,placed on IL with sprained left wrist,Dwyane Wade
2010-11-20,2010-11,Magic,Malik Allen,placed on IL,Malik Allen
2010-11-20,2010-11,Nets,Quinton Ross,placed on IL with calf injury,Quinton Ross
2010-11-20,2010-11,Pacers,Dahntay Jones,placed on IL,Dahntay Jones
2010-11-20,2010-11,Suns,Steve Nash,strained groin (DNP),Steve Nash
2010-11-21,2010-11,Celtics,Rajon Rondo,placed on IL with strained left hamstring,Rajon Rondo
2010-11-21,2010-11,Kings,Antoine Wright,placed on IL,Antoine Wright
2010-11-21,2010-11,Wizards,Hamady N'Diaye,placed on IL,Hamady Ndiaye
2010-11-21,2010-11,Wizards,John Wall ,sprained left foot (DNP),John Wall
2010-11-22,2010-11,Heat,Udonis Haslem,placed on IL with torn ligament in left foot (out for season),Udonis Haslem
2010-11-22,2010-11,Hornets,David Andersen,placed on IL,David Andersen
2010-11-22,2010-11,Hornets,Marcus Banks,placed on IL,Marcus Banks
2010-11-22,2010-11,Hornets,Marcus Thornton ,DNP,Marcus Thornton
2010-11-22,2010-11,Nuggets,Chauncey Billups,placed on IL with broken nose and sprained right wrist,Chauncey Billups
2010-11-22,2010-11,Pacers,A.J. Price,placed on IL,AJ Price
2010-11-22,2010-11,Pacers,Jeff Foster,placed on IL,Jeff Foster
2010-11-22,2010-11,Thunder,Daequan Cook,placed on IL,Daequan Cook
2010-11-22,2010-11,Thunder,Morris Peterson,placed on IL,Morris Peterson
2010-11-22,2010-11,Warriors,Brandan Wright,strained lower back (DNP),Brandan Wright
2010-11-23,2010-11,Bobcats,DeSagana Diop,placed on IL,DeSagana Diop
2010-11-23,2010-11,Heat,Udonis Haslem,surgery on left foot to repair torn ligament (out for season),Udonis Haslem
2010-11-23,2010-11,Pacers,Dahntay Jones,placed on IL,Dahntay Jones
2010-11-24,2010-11,76ers,Darius Songaila,placed on IL,Darius Songaila
2010-11-24,2010-11,Bucks,Andrew Bogut,sore back (DNP),Andrew Bogut
2010-11-24,2010-11,Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino
2010-11-24,2010-11,Bulls,Taj Gibson,right ankle/foot injury (DNP),Taj Gibson
2010-11-24,2010-11,Celtics,Delonte West,broken right wrist (out indefinitely),Delonte West
2010-11-24,2010-11,Hornets,Pops Mensah-Bonsu,placed on IL,Pops Mensah-Bonsu
2010-11-24,2010-11,Magic,Vince Carter,placed on IL with sprained left knee,Vince Carter
2010-11-24,2010-11,Thunder,B.J. Mullens,placed on IL,Byron Mullens
2010-11-24,2010-11,Warriors,Brandan Wright,strained lower back (DNP),Brandan Wright
2010-11-25,2010-11,Kings,Francisco Garcia,placed on IL with illness,Francisco Garcia
2010-11-25,2010-11,Wizards,Al Thornton,placed on IL with sprained left ankle,Al Thornton
2010-11-26,2010-11,Bucks,Andrew Bogut,sore back (DNP),Andrew Bogut
2010-11-26,2010-11,Bucks,Carlos Delfino,strained neck (DNP),Carlos Delfino
2010-11-26,2010-11,Bulls,Derrick Rose,placed on IL with sore neck,Derrick Rose
2010-11-26,2010-11,Celtics,Delonte West,placed on IL withi broken right wrist,Delonte West
2010-11-26,2010-11,Grizzlies,Acie Law,placed on IL with flu,Acie Law
2010-11-26,2010-11,Raptors,Reggie Evans,broken right foot (out indefinitely),Reggie Evans
2010-11-26,2010-11,Thunder,Nenad Krstic,placed on IL with back spasms,Nenad Krstic
2010-11-26,2010-11,Warriors,Brandan Wright,strained lower back (DNP),Brandan Wright
2010-11-26,2010-11,Mavericks,Brendan Haywood,placed on IL for suspension,Brendan Haywood
2010-11-27,2010-11,76ers,Craig Brackins,placed on IL,Craig Brackins
2010-11-27,2010-11,Bucks,Andrew Bogut,sore back (DNP),Andrew Bogut
2010-11-27,2010-11,Bucks,Carlos Delfino,placed on IL witih strained neck,Carlos Delfino
2010-11-27,2010-11,Bucks,Corey Maggette,sore left ankle (DNP),Corey Maggette
2010-11-27,2010-11,Bucks,Drew Gooden,plantar fasciitis in left foot (DNP),Drew Gooden
2010-11-27,2010-11,Bulls,John Lucas III,placed on IL,John Lucas III
2010-11-27,2010-11,Mavericks,Alex Ajinca,placed on IL,Alexis Ajinca
2010-11-27,2010-11,Warriors,Brandan Wright,placed on IL with strained lower back,Brandan Wright
