game_id,team_id_a,team_id_b,away_home_a
21000001,1610612738,1610612748,1
21000002,1610612756,1610612757,0
21000003,1610612745,1610612747,0
21000004,1610612738,1610612739,0
21000005,1610612765,1610612751,0
21000006,1610612748,1610612755,0
21000007,1610612752,1610612761,0
21000008,1610612737,1610612763,0
21000009,1610612750,1610612758,1
21000010,1610612749,1610612740,0
21000011,1610612741,1610612760,0
21000012,1610612766,1610612742,0
21000013,1610612754,1610612759,0
21000014,1610612743,1610612762,1
21000015,1610612744,1610612745,1
21000016,1610612746,1610612757,1
21000017,1610612753,1610612764,1
21000018,1610612756,1610612762,0
21000019,1610612766,1610612754,1
21000020,1610612751,1610612758,1
21000021,1610612737,1610612755,0
21000022,1610612739,1610612761,0
21000023,1610612738,1610612752,1
21000024,1610612765,1610612760,1
21000025,1610612748,1610612753,1
21000026,1610612749,1610612750,0
21000027,1610612743,1610612740,0
21000028,1610612742,1610612763,1
21000029,1610612744,1610612746,1
21000030,1610612747,1610612756,0
21000031,1610612737,1610612764,1
21000032,1610612739,1610612758,1
21000033,1610612752,1610612757,1
21000034,1610612754,1610612755,1
21000035,1610612741,1610612765,1
21000036,1610612763,1610612750,1
21000037,1610612743,1610612745,0
21000038,1610612766,1610612749,0
21000039,1610612740,1610612759,0
21000040,1610612748,1610612751,0
21000041,1610612742,1610612746,0
21000042,1610612760,1610612762,1
21000043,1610612744,1610612747,0
21000044,1610612741,1610612757,1
21000045,1610612758,1610612761,1
21000046,1610612746,1610612759,1
21000047,1610612737,1610612739,0
21000048,1610612755,1610612764,0
21000049,1610612738,1610612765,0
21000050,1610612748,1610612750,1
21000051,1610612752,1610612753,1
21000052,1610612749,1610612757,1
21000053,1610612747,1610612763,1
21000054,1610612737,1610612765,1
21000055,1610612766,1610612751,0
21000056,1610612750,1610612753,0
21000057,1610612754,1610612755,0
21000058,1610612738,1610612749,1
21000059,1610612745,1610612740,1
21000060,1610612742,1610612743,0
21000061,1610612761,1610612762,0
21000062,1610612756,1610612759,1
21000063,1610612744,1610612763,1
21000064,1610612746,1610612760,1
21000065,1610612747,1610612758,0
21000066,1610612741,1610612752,1
21000067,1610612760,1610612757,0
21000068,1610612754,1610612749,1
21000069,1610612751,1610612753,0
21000070,1610612739,1610612755,0
21000071,1610612766,1610612765,0
21000072,1610612752,1610612764,1
21000073,1610612738,1610612741,1
21000074,1610612737,1610612750,0
21000075,1610612748,1610612740,0
21000076,1610612763,1610612756,0
21000077,1610612743,1610612746,1
21000078,1610612744,1610612762,1
21000079,1610612747,1610612761,1
21000080,1610612766,1610612753,1
21000081,1610612739,1610612764,0
21000082,1610612748,1610612751,1
21000083,1610612749,1610612740,1
21000084,1610612745,1610612759,0
21000085,1610612742,1610612743,1
21000086,1610612746,1610612762,0
21000087,1610612757,1610612761,1
21000088,1610612763,1610612758,0
21000089,1610612752,1610612755,1
21000090,1610612737,1610612756,1
21000091,1610612765,1610612744,1
21000092,1610612745,1610612750,1
21000093,1610612738,1610612760,0
21000094,1610612747,1610612757,1
21000095,1610612766,1610612759,1
21000096,1610612737,1610612753,0
21000097,1610612744,1610612761,0
21000098,1610612741,1610612743,1
21000099,1610612763,1610612756,1
21000100,1610612738,1610612742,0
21000101,1610612743,1610612754,0
21000102,1610612739,1610612751,0
21000103,1610612748,1610612762,1
21000104,1610612749,1610612752,1
21000105,1610612746,1610612740,0
21000106,1610612765,1610612757,0
21000107,1610612747,1610612750,1
21000108,1610612737,1610612749,1
21000109,1610612753,1610612762,1
21000110,1610612766,1610612761,0
21000111,1610612745,1610612764,0
21000112,1610612739,1610612751,1
21000113,1610612744,1610612752,0
21000114,1610612742,1610612763,0
21000115,1610612760,1610612755,1
21000116,1610612746,1610612759,0
21000117,1610612750,1610612758,0
21000118,1610612738,1610612748,0
21000119,1610612741,1610612744,1
21000120,1610612743,1610612747,1
21000121,1610612737,1610612762,1
21000122,1610612745,1610612754,0
21000123,1610612753,1610612761,1
21000124,1610612766,1610612764,0
21000125,1610612750,1610612752,1
21000126,1610612742,1610612755,1
21000127,1610612756,1610612758,1
21000128,1610612760,1610612757,1
21000129,1610612765,1610612746,0
21000130,1610612766,1610612762,1
21000131,1610612751,1610612753,1
21000132,1610612739,1610612754,1
21000133,1610612748,1610612761,1
21000134,1610612741,1610612764,1
21000135,1610612738,1610612763,0
21000136,1610612740,1610612757,1
21000137,1610612744,1610612749,0
21000138,1610612755,1610612759,0
21000139,1610612737,1610612750,1
21000140,1610612765,1610612758,0
21000141,1610612760,1610612759,1
21000142,1610612745,1610612752,0
21000143,1610612747,1610612756,1
21000144,1610612766,1610612750,1
21000145,1610612763,1610612753,0
21000146,1610612742,1610612740,1
21000147,1610612743,1610612756,0
21000148,1610612760,1610612762,0
21000149,1610612765,1610612744,0
21000150,1610612746,1610612751,1
21000151,1610612739,1610612755,1
21000152,1610612737,1610612754,0
21000153,1610612761,1610612764,0
21000154,1610612763,1610612757,1
21000155,1610612747,1610612749,0
21000156,1610612741,1610612745,0
21000157,1610612743,1610612752,1
21000158,1610612748,1610612756,1
21000159,1610612755,1610612761,1
21000160,1610612738,1610612764,1
21000161,1610612765,1610612747,1
21000162,1610612746,1610612750,0
21000163,1610612742,1610612740,0
21000164,1610612745,1610612760,0
21000165,1610612751,1610612762,0
21000166,1610612741,1610612759,0
21000167,1610612752,1610612758,0
21000168,1610612754,1610612746,1
21000169,1610612753,1610612756,1
21000170,1610612743,1610612757,0
21000171,1610612738,1610612760,1
21000172,1610612749,1610612755,0
21000173,1610612745,1610612761,0
21000174,1610612763,1610612764,0
21000175,1610612766,1610612748,0
21000176,1610612747,1610612750,0
21000177,1610612739,1610612740,0
21000178,1610612759,1610612762,0
21000179,1610612741,1610612742,0
21000180,1610612751,1610612758,0
21000181,1610612744,1610612752,1
21000182,1610612766,1610612756,1
21000183,1610612754,1610612753,1
21000184,1610612737,1610612742,1
21000185,1610612763,1610612748,1
21000186,1610612749,1610612760,1
21000187,1610612739,1610612759,0
21000188,1610612743,1610612751,1
21000189,1610612757,1610612762,1
21000190,1610612746,1610612752,1
21000191,1610612738,1610612761,0
21000192,1610612765,1610612764,1
21000193,1610612740,1610612758,0
21000194,1610612744,1610612747,0
21000195,1610612737,1610612738,1
21000196,1610612754,1610612748,0
21000197,1610612750,1610612760,0
21000198,1610612745,1610612756,1
21000199,1610612753,1610612759,0
21000200,1610612758,1610612762,0
21000201,1610612743,1610612744,0
21000202,1610612746,1610612740,1
21000203,1610612739,1610612754,0
21000204,1610612737,1610612751,0
21000205,1610612755,1610612764,0
21000206,1610612766,1610612752,0
21000207,1610612742,1610612765,1
21000208,1610612741,1610612747,0
21000209,1610612766,1610612752,1
21000210,1610612739,1610612749,1
21000211,1610612755,1610612761,0
21000212,1610612738,1610612751,1
21000213,1610612748,1610612753,0
21000214,1610612765,1610612763,0
21000215,1610612750,1610612759,1
21000216,1610612742,1610612760,0
21000217,1610612744,1610612745,0
21000218,1610612741,1610612756,0
21000219,1610612740,1610612762,0
21000220,1610612737,1610612764,1
21000221,1610612746,1610612758,1
21000222,1610612766,1610612745,1
21000223,1610612739,1610612753,0
21000224,1610612738,1610612761,1
21000225,1610612765,1610612749,1
21000226,1610612748,1610612755,1
21000227,1610612754,1610612760,1
21000228,1610612742,1610612759,0
21000229,1610612741,1610612743,0
21000230,1610612746,1610612756,0
21000231,1610612747,1610612762,0
21000232,1610612744,1610612763,0
21000233,1610612740,1610612757,0
21000234,1610612737,1610612752,0
21000235,1610612753,1610612764,0
21000236,1610612739,1610612763,1
21000237,1610612751,1610612755,0
21000238,1610612744,1610612750,0
21000239,1610612742,1610612748,1
21000240,1610612766,1610612749,0
21000241,1610612741,1610612758,0
21000242,1610612737,1610612761,0
21000243,1610612765,1610612752,1
21000244,1610612740,1610612759,1
21000245,1610612746,1610612762,1
21000246,1610612751,1610612757,1
21000247,1610612745,1610612760,1
21000248,1610612743,1610612756,1
21000249,1610612754,1610612747,0
21000250,1610612748,1610612764,1
21000251,1610612740,1610612760,0
21000252,1610612742,1610612745,1
21000253,1610612749,1610612762,0
