,losses_diff,wins_diff,win_pct_diff,opp_win_pct_diff,opp_losses_diff,opp_wins_diff,opp_opps_losses_diff,opp_opps_wins_diff,opp_opps_win_pct_diff,strength_of_schedule_diff,spread_a
3134,0.8142757251017518,-0.9107744169774388,-0.7095055206251938,0.7095055206251938,-0.8142757251017518,0.9107744169774388,0.9931283418550194,0.6803698435693412,-0.10115601660221468,0.7646659368619355,-25
8383,1.8619213088690603,-1.7705015469550998,-1.5283956401642822,1.5283956401642822,-1.8619213088690603,1.7705015469550998,0.014667082096588777,-0.8390248880465285,-0.17580882606449172,1.6571945809582187,15
7423,1.4809592784082208,-1.2928753636341772,-0.8002116263519229,0.8002116263519229,-1.4809592784082208,1.2928753636341772,-1.9976400370292402,0.007220278929398952,0.1741904783373461,0.9307233224005705,15
2528,-0.13812935105034674,0.044477949664407004,0.5348767282505997,-0.5348767282505997,0.13812935105034674,-0.044477949664407004,-0.0037944511064004808,0.1418501918573874,0.9337914084469314,-0.37329295193613954,11
10064,0.052351664180072977,-0.05104728699977757,-0.0515212715256309,0.0515212715256309,-0.052351664180072977,0.05104728699977757,0.679282277404202,-1.0505861797905103,-0.16100083519841754,0.019122578820044266,-7
2050,1.0047567403321715,-0.8152491803132542,-0.788170304205486,0.788170304205486,-1.0047567403321715,0.8152491803132542,-0.3361020487602071,-1.4160102291664791,-0.21270339423578286,0.8256757371471704,7
7503,0.719035217486542,-0.6241987069848851,-0.38000214180260755,0.38000214180260755,-0.719035217486542,0.6241987069848851,0.23620548053245988,0.12261734715338905,-0.023208385791727546,0.4168826900599855,-8
3700,0.052351664180072977,-0.05104728699977757,-0.0515212715256309,0.0515212715256309,-0.052351664180072977,0.05104728699977757,0.014667082096588777,0.007220278929398952,-0.013957485610062246,0.053960271012162456,13
3493,0.14759217179528283,-0.24209776032814673,-0.12967872429106703,0.12967872429106703,-0.14759217179528283,0.24209776032814673,2.488512531297149,-1.4544759185744758,-0.3656680222186523,0.05750640868864959,20
5966,1.385718770793011,-1.3884006002983618,-0.918220954479356,0.918220954479356,-1.385718770793011,1.3884006002983618,-0.7237942460229816,1.6420120787692587,0.28305148667687496,1.0876849295382933,5
9701,-0.13812935105034674,0.23552842299277618,0.13647422821710142,-0.13647422821710142,0.13812935105034674,-0.23552842299277618,0.014667082096588777,-1.0121204903825136,-0.21730425406887788,-0.20317828240114297,6
7043,-2.0429395033545434,1.8594574462839142,1.658437795283263,-1.658437795283263,2.0429395033545434,-1.8594574462839142,0.014667082096588777,1.3535194082092834,0.26367560747630736,-1.7809219649457853,-21
10187,-1.4714964576632845,1.4773564996271757,0.6974038900511068,-0.6974038900511068,1.4714964576632845,-1.4773564996271757,-2.1822553690591326,0.6034384647533478,0.18225036698882296,-0.7320017182773738,-8
7329,1.2904782631778011,-1.1018248903058079,-0.7257473821127262,0.7257473821127262,-1.2904782631778011,1.1018248903058079,0.2177439473294706,-1.7045028997264542,-0.21124956998014446,0.7566356441871672,8
2258,0.9095162327169617,-1.0062996536416233,-0.6391475871790635,0.6391475871790635,-0.9095162327169617,1.0062996536416233,0.14389781451751357,-1.5121744526864707,-0.20385442518851435,0.6621300178056974,3
2780,0.052351664180072977,0.42657889632114526,0.5275237752753491,-0.5275237752753491,-0.052351664180072977,-0.42657889632114526,-0.8899480448498849,-0.031245410478597746,0.5111678598642803,-0.4652484667642214,-9
8813,0.052351664180072977,-0.05104728699977757,-0.0515212715256309,0.0515212715256309,-0.052351664180072977,0.05104728699977757,0.3654362129533847,1.5073821658412703,0.07475527520723188,0.07497820799141294,23
9912,0.2428326794104927,-0.24209776032814673,-0.17146631693440534,0.17146631693440534,-0.2428326794104927,0.24209776032814673,-0.39148664836917485,0.3341786388973709,0.0705604671003953,0.20730608624804148,4
10185,0.14759217179528283,-0.14657252366396215,-0.09832909412417706,0.09832909412417706,-0.14759217179528283,0.14657252366396215,-0.8530249784439063,0.7573012223853346,0.09983566591638134,0.13294827243836022,-2
5991,2.05240232409948,-1.8660267836192845,-1.2722522981858997,1.2722522981858997,-2.05240232409948,1.8660267836192845,-1.185332576097713,-1.3390788503504856,-0.022519867567823003,1.408802687774067,19
8644,-0.8048129043568156,0.713154606313699,0.436287796007476,-0.436287796007476,0.8048129043568156,-0.713154606313699,1.030051408260998,-0.06971109988659445,-0.13216572679189573,-0.5162569352258445,6
8114,0.9095162327169617,-1.0062996536416233,-1.3000526867231723,1.3000526867231723,-0.9095162327169617,1.0062996536416233,0.9192822090430623,-0.6274635963025467,-0.8155251621564664,1.2518236735857653,-2
2366,-0.32861036628076645,0.33105365965696076,0.14531162350415297,-0.14531162350415297,0.32861036628076645,-0.33105365965696076,-1.5730247733604872,0.8726982906093247,0.1806134045853799,-0.11872610983690075,-10
8431,-0.9000534119720255,0.8086798429778836,0.6434288319167893,-0.6434288319167893,0.9000534119720255,-0.8086798429778836,0.9377437422460516,0.5649727753453512,-0.07702202888693457,-0.7334343180334351,-4
7894,0.14759217179528283,-0.24209776032814673,-0.46733076227604897,0.46733076227604897,-0.14759217179528283,0.24209776032814673,-0.040717517512378995,0.064918813041394,0.20212926223493247,0.5673377640695179,17
1028,0.6237947098713321,-0.6241987069848851,-0.3852813978804817,0.3852813978804817,-0.6237947098713321,0.6241987069848851,-1.979178503826251,0.19954872596938245,0.2125710441237323,0.47861186046203213,5
7296,-0.23336985866555657,0.1400031863285916,0.10174184205224766,-0.10174184205224766,0.23336985866555657,-0.1400031863285916,-0.8530249784439063,0.9496296694253181,0.19577188442326193,-0.06670591508866353,-15
4038,-0.13812935105034674,0.044477949664407004,0.18940730453355237,-0.18940730453355237,0.13812935105034674,-0.044477949664407004,0.31005161334441694,0.2187815706733808,-0.11399764664941123,-0.2375391029762269,-9
2380,0.4333136946409124,-0.14657252366396215,-0.19706305501987584,0.19706305501987584,-0.4333136946409124,0.14657252366396215,-3.382255027253435,-1.9929955702864295,0.13142632795252415,0.25017787304355193,11
44,0.052351664180072977,0.044477949664407004,0.5881856373211661,-0.5881856373211661,-0.052351664180072977,-0.044477949664407004,-0.0037944511064004808,0.007220278929398952,1.3365846884211539,-0.33711676663540663,-3
5903,-2.233420518584963,2.4326088662690215,1.5830401748725647,-1.5830401748725647,2.233420518584963,-2.4326088662690215,-1.5361017069545089,0.6034384647533478,0.2825700276792868,-1.6926392607516076,-5
5621,-0.5190913815111862,0.42657889632114526,0.49144947061750416,-0.49144947061750416,0.5190913815111862,-0.42657889632114526,-0.040717517512378995,0.064918813041394,0.0178199773083194,-0.5420356255170222,-8
6932,1.0047567403321715,-0.8152491803132542,-0.8820600725049622,0.8820600725049622,-1.0047567403321715,0.8152491803132542,0.23620548053245988,-0.5120665280785565,-0.21694278514180917,0.9290320041784956,27
10083,2.05240232409948,-2.0570772569476534,-1.1262288783882501,1.1262288783882501,-2.05240232409948,2.0570772569476534,-0.9268711112558634,-0.41590230455856475,0.03052500033383764,1.2590617043046055,10
8585,-0.042888843435136874,0.044477949664407004,0.010385848685349407,-0.010385848685349407,0.042888843435136874,-0.044477949664407004,0.43928234576534175,-1.531407297390469,-0.25376496107803376,-0.07166642154921515,14
6127,-1.090534427202445,0.9997303163062528,0.5616594715341088,-0.5616594715341088,1.090534427202445,-0.9997303163062528,-1.5361017069545089,0.48804139652935774,0.16316133811767086,-0.5856412252670169,-4
8877,1.7666808012538504,-1.7705015469550998,-0.8940620782994612,0.8940620782994612,-1.7666808012538504,1.7705015469550998,2.673127863327042,-0.9544219562705186,-0.27429501128018813,0.9287845534066893,29
3439,0.33807318702570255,-0.05104728699977757,-0.10876099493528642,0.10876099493528642,-0.33807318702570255,0.05104728699977757,0.16235934772050284,1.3535194082092834,0.09651065165343063,0.1437558071706624,23
10015,3.0048074002515786,-3.0123296235894994,-1.7513139150328347,1.7513139150328347,-3.0048074002515786,3.0123296235894994,3.116204660198784,-0.9928876456785153,-0.40666553394974714,1.8502785895153993,7
1309,0.14759217179528283,-0.14657252366396215,-0.08952366215019313,0.08952366215019313,-0.14759217179528283,0.14657252366396215,-0.7237942460229816,-1.9160641914704362,-0.05379740017447248,0.08676189331496195,-9
4691,0.2428326794104927,-0.05104728699977757,-0.1340036275381114,0.1340036275381114,-0.2428326794104927,0.05104728699977757,0.1808208809234921,-0.7236278198225384,-0.11410921798031272,0.12191326252004785,9
8448,-0.23336985866555657,0.044477949664407004,0.08243444870297194,-0.08243444870297194,0.23336985866555657,-0.044477949664407004,0.605436144592245,0.449575707121361,-0.037224294045245486,-0.10044703944836578,-8
6092,0.5285542022561223,-0.43314823365651595,-0.2880326286696931,0.2880326286696931,-0.5285542022561223,0.43314823365651595,-0.4284097147751534,-1.0698190244945087,-0.0692002035807427,0.30375999139229465,-16
9641,-0.614331889126396,0.42657889632114526,0.48704620509242336,-0.48704620509242336,0.614331889126396,-0.42657889632114526,1.23312827349388,0.2187815706733808,-0.2513533832549147,-0.6009141785142225,-9
3055,-0.13812935105034674,0.23552842299277618,0.16148895710728783,-0.16148895710728783,0.13812935105034674,-0.23552842299277618,-0.07764058391835751,-0.20434101281458292,-0.043010036360829236,-0.18968873582293888,-16
7758,-0.13812935105034674,0.1400031863285916,1.2278925461679633,-1.2278925461679633,0.13812935105034674,-0.1400031863285916,0.0885132149085458,0.045685968337395653,-0.568026069827997,-1.4994086617418207,25
9821,-0.23336985866555657,0.42657889632114526,0.23266609743574743,-0.23266609743574743,0.23336985866555657,-0.42657889632114526,-2.0345631034352185,-0.7043949751185401,0.1798347690031822,-0.21600712169050093,-7
8427,1.7666808012538504,-1.6749763102909152,-1.3685649073866837,1.3685649073866837,-1.7666808012538504,1.6749763102909152,-0.11456365032433603,-0.7428606645265368,-0.11864478031191053,1.4930823675709313,31
2229,-1.3762559500480747,1.2863060262988064,0.8597988986184127,-0.8597988986184127,1.3762559500480747,-1.2863060262988064,0.12543628131452433,0.7380683776813363,0.06729633182397136,-0.9397426125943364,9
1580,0.4333136946409124,-0.5286734703207004,-1.0816375438598116,1.0816375438598116,-0.4333136946409124,0.5286734703207004,0.14389781451751357,0.007220278929398952,-0.23134608058381445,1.1474545749809548,-8
6331,0.052351664180072977,-0.05104728699977757,-0.0515212715256309,0.0515212715256309,-0.052351664180072977,0.05104728699977757,0.014667082096588777,0.007220278929398952,-0.013957485610062246,0.053960271012162456,-16
616,1.0999972479473814,-1.0062996536416233,-1.0553690361775279,1.0553690361775279,-1.0999972479473814,1.0062996536416233,0.5869746113892558,-1.0121204903825136,-0.47892677155096475,1.0595993921909068,8
7347,1.385718770793011,-1.3884006002983618,-0.8535418736619137,0.8535418736619137,-1.385718770793011,1.3884006002983618,2.8762047285599235,-0.30050523633457465,-0.3560664461714967,0.8643720107889669,34
4138,1.385718770793011,-1.2928753636341772,-1.8808309295826047,1.8808309295826047,-1.385718770793011,1.2928753636341772,-0.6868711796170031,0.007220278929398952,0.3846563703431117,2.1817207379694454,14
7136,3.3857694307124175,-3.2989053335820535,-2.4824075251434596,2.4824075251434596,-3.3857694307124175,3.2989053335820535,1.6762050703656222,-2.723843669038367,-0.709556422048976,2.591144916502194,6
4919,1.385718770793011,-1.3884006002983618,-0.7149210288482353,0.7149210288482353,-1.385718770793011,1.3884006002983618,-0.02225598430938974,-2.512282377294385,-0.18168652515518058,0.7516060129888034,4
2774,0.33807318702570255,-0.14657252366396215,-0.34677061407030646,0.34677061407030646,-0.33807318702570255,0.14657252366396215,0.0885132149085458,-0.4543679939665614,-0.4426794065131204,0.28056347851942814,3
9135,-0.13812935105034674,0.23552842299277618,0.7335735711499837,-0.7335735711499837,0.13812935105034674,-0.23552842299277618,0.14389781451751357,-0.10817678929459115,-0.8602599659553655,-1.0191980000500922,-21
5509,0.9095162327169617,-0.8152491803132542,-1.0474286182530308,1.0474286182530308,-0.9095162327169617,0.8152491803132542,0.25466701373544914,-0.031245410478597746,-0.1329930719479361,1.1327324721757295,4
1486,-0.614331889126396,0.6176293696495144,2.3909960167985034,-2.3909960167985034,0.614331889126396,-0.6176293696495144,-0.2622559159482501,0.3149457941933726,1.9428139741560837,-2.197353987443423,-13
5152,0.33807318702570255,-0.24209776032814673,-1.2243172710780923,1.2243172710780923,-0.33807318702570255,0.24209776032814673,0.014667082096588777,0.026453123633397302,0.08076492600526798,1.3799921473808476,25
6929,-0.23336985866555657,0.044477949664407004,0.16059207193409633,-0.16059207193409633,0.23336985866555657,-0.044477949664407004,-0.1699482499333038,0.08415165774539235,0.06313498518191528,-0.16354381727649836,6
7240,-1.185774934817655,1.0952555529704373,0.7318575168490532,-0.7318575168490532,1.185774934817655,-1.0952555529704373,-1.3330248417216268,1.0842595823533066,0.30064002000601064,-0.7422487056071143,18
3238,-0.23336985866555657,0.044477949664407004,0.09417274216387866,-0.09417274216387866,0.23336985866555657,-0.044477949664407004,-1.1484095096917344,0.8342326012013279,0.282575479720802,-0.03772706878307481,-11
3999,0.5285542022561223,-0.5286734703207004,-1.0110816347958265,1.0110816347958265,-0.5285542022561223,0.5286734703207004,-0.059179050715368255,-0.18510816811058456,-0.16668234828088185,1.084350246754625,15
5722,1.5761997860234307,-1.5794510736267307,-1.3581566598084505,1.3581566598084505,-1.5761997860234307,1.5794510736267307,-0.18840978313629306,0.2572472600813775,0.08094886269476925,1.5288013301518457,-13
4413,-0.9000534119720255,0.9997303163062528,0.8059582020349695,-0.8059582020349695,0.9000534119720255,-0.9997303163062528,0.1808208809234921,0.5072742412333561,0.04797117767308238,-0.8844759611645457,10
3053,0.9095162327169617,-0.9107744169774388,-0.8191695621417875,0.8191695621417875,-0.9095162327169617,0.9107744169774388,0.6608207442012127,0.007220278929398952,-0.16869658604798152,0.8705582832446307,19
5147,0.4333136946409124,-0.3376229969923313,-1.7650219202224087,1.7650219202224087,-0.4333136946409124,0.3376229969923313,0.05159014850256729,-0.012012565774599396,-0.47684492429011605,1.8488883692851645,13
7403,1.1952377555625913,-1.1973501269699927,-0.700238136835059,0.700238136835059,-1.1952377555625913,1.1973501269699927,2.396204865282203,0.045685968337395653,-0.23291989791671067,0.7231473618101094,-3
461,1.1952377555625913,-1.1018248903058079,-1.4521698662990612,1.4521698662990612,-1.1952377555625913,1.1018248903058079,-0.31764051555721784,-0.012012565774599396,0.1434305055883362,1.648102431436711,8
4323,-1.090534427202445,0.9042050796420682,0.9583017774396702,-0.9583017774396702,1.090534427202445,-0.9042050796420682,0.8823591426370838,1.0265610482413114,0.029678812246123596,-1.0581432506210613,-3
