GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021300301,1610612753,Magic,ORL,Orlando,240:00,90.4,93.6,98.5,105.4,-8.1,-11.8,0.438,2.0,11.1,,0.63,,7.193,7.4,0.387,0.418,1.0,0.201,98.4,93.5,77.92,94,0.359
0021300301,1610612745,Rockets,HOU,Houston,240:00,98.5,105.4,90.4,93.6,8.1,11.8,0.688,1.1,16.1,0.37,,,20.105,21.5,0.487,0.519,1.0,0.192,98.4,93.5,77.92,93,0.641
0021300302,1610612760,Thunder,OKC,Oklahoma City,240:00,124.5,125.5,94.7,98.9,29.8,26.6,0.574,1.42,20.5,,0.731,,20.042,20.2,0.643,0.688,1.0,0.197,97.02,94.5,78.75,94,0.68
0021300302,1610612754,Pacers,IND,Indiana,240:00,94.7,98.9,124.5,125.5,-29.8,-26.6,0.382,0.93,10.7,0.269,,,14.107,14.7,0.441,0.499,1.0,0.198,97.02,94.5,78.75,95,0.32
0021300303,1610612761,Raptors,TOR,Toronto,240:00,107.1,109.3,95.1,95.9,11.9,13.4,0.475,1.58,15.3,0.205,0.756,0.483,12.121,12.4,0.512,0.57,1.0,0.198,98.9,97.5,81.25,97,0.582
0021300303,1610612747,Lakers,LAL,Los Angeles,240:00,95.1,95.9,107.1,109.3,-11.9,-13.4,0.647,1.16,17.1,0.244,0.795,0.517,19.231,19.4,0.487,0.535,1.0,0.199,98.9,97.5,81.25,98,0.418
0021300304,1610612744,Warriors,GSW,Golden State,240:00,106.0,105.7,107.7,109.5,-1.7,-3.8,0.488,1.33,14.9,,0.836,,14.329,14.3,0.517,0.557,1.0,0.202,105.72,105.0,87.5,105,0.464
0021300304,1610612766,Bobcats,CHA,Charlotte,240:00,107.7,109.5,106.0,105.7,1.7,3.8,0.512,3.14,16.2,0.164,,,6.557,6.7,0.489,0.539,1.0,0.197,105.72,105.0,87.5,105,0.536
0021300305,1610612755,76ers,PHI,Philadelphia,240:00,81.1,84.7,96.2,97.9,-15.1,-13.2,0.788,1.63,18.3,,0.8,,15.631,16.3,0.375,0.414,1.0,0.199,100.06,97.0,80.83,98,0.4
0021300305,1610612746,Clippers,LAC,Los Angeles,240:00,96.2,97.9,81.1,84.7,15.1,13.2,0.571,1.67,15.8,0.2,,,12.275,12.5,0.457,0.496,1.0,0.199,100.06,97.0,80.83,96,0.6
0021300306,1610612764,Wizards,WAS,Washington,240:00,78.8,83.1,84.1,83.3,-5.4,-0.2,0.563,1.06,14.1,0.373,0.702,0.519,18.093,19.1,0.388,0.398,1.0,0.195,91.56,89.5,74.58,89,0.448
