GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021000772,1610612750,MIN,Minnesota,202325,Wesley Johnson,F,,28:25,112.6,110.2,104.5,109.1,8.2,1.1,0.053,0.0,8.3,0.067,0.129,0.098,0.0,0.591,0.591,0.157,0.16,97.27,96.29,80.24,59,0.139
0021000772,1610612750,MIN,Minnesota,201567,Kevin Love,F,,35:58,113.4,112.2,109.7,113.5,3.8,-1.4,0.111,1.0,13.0,0.061,0.316,0.197,13.0,0.536,0.601,0.238,0.241,99.93,98.76,82.3,74,0.155
0021000772,1610612750,MIN,Minnesota,201593,Nikola Pekovic,C,,19:07,96.0,95.1,112.9,112.2,-16.9,-17.1,0.071,0.0,12.5,0.19,0.158,0.175,0.0,0.333,0.436,0.146,0.147,102.22,102.97,85.81,41,0.06
0021000772,1610612750,MIN,Minnesota,201147,Corey Brewer,G,,27:51,106.3,101.7,111.0,113.3,-4.7,-11.6,0.0,0.0,0.0,0.038,0.0,0.018,21.4,0.455,0.437,0.209,0.217,100.65,101.68,84.73,58,-0.032
0021000772,1610612750,MIN,Minnesota,201938,Jonny Flynn,G,,31:23,110.5,106.0,107.7,110.8,2.7,-4.8,0.333,1.4,26.9,0.031,0.094,0.063,19.2,0.5,0.519,0.244,0.249,100.27,100.95,84.12,67,0.101
0021000772,1610612750,MIN,Minnesota,201229,Anthony Tolliver,,,21:58,130.8,126.2,106.2,107.1,24.6,19.0,0.05,0.0,25.0,0.095,0.308,0.213,0.0,0.5,0.694,0.061,0.063,90.55,91.78,76.48,42,0.128
0021000772,1610612750,MIN,Minnesota,202351,Lazar Hayward,,,14:50,118.6,119.4,113.9,112.9,4.7,6.5,0.143,2.0,28.6,0.0,0.176,0.107,14.3,0.5,0.5,0.147,0.146,100.19,100.31,83.6,31,0.034
0021000772,1610612750,MIN,Minnesota,2742,Sebastian Telfair,,,16:37,129.6,124.2,111.5,112.5,18.1,11.7,0.273,1.5,21.4,0.0,0.0,0.0,14.3,0.778,0.778,0.306,0.318,92.32,93.88,78.23,33,0.171
0021000772,1610612750,MIN,Minnesota,201961,Wayne Ellington,,,24:54,132.9,128.6,108.6,108.2,24.3,20.4,0.211,0.0,25.0,0.0,0.034,0.019,0.0,0.7,0.765,0.214,0.221,92.72,94.46,78.71,49,0.207
0021000772,1610612750,MIN,Minnesota,201585,Kosta Koufos,,,18:57,130.6,128.9,106.4,105.1,24.2,23.8,0.0,0.0,0.0,0.2,0.087,0.132,11.1,0.571,0.508,0.205,0.207,96.28,97.49,81.25,38,0.06
0021000772,1610612750,MIN,Minnesota,201563,Michael Beasley,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0021000772,1610612750,MIN,Minnesota,2545,Darko Milicic,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0021000772,1610612745,HOU,Houston,2203,Shane Battier,F,,36:55,104.1,105.3,110.6,109.3,-6.5,-4.0,0.111,0.0,33.3,0.023,0.105,0.061,0.0,0.5,0.5,0.073,0.073,97.57,97.52,81.26,75,0.067
0021000772,1610612745,HOU,Houston,2449,Luis Scola,F,,37:20,115.3,118.2,119.8,118.7,-4.5,-0.5,0.28,7.0,26.9,0.026,0.029,0.028,3.8,0.611,0.597,0.221,0.221,98.5,97.73,81.44,77,0.118
0021000772,1610612745,HOU,Houston,101236,Chuck Hayes,C,,35:57,111.1,115.1,113.4,113.9,-2.3,1.2,0.143,0.0,26.7,0.111,0.273,0.188,0.0,0.5,0.46,0.136,0.135,98.72,96.8,80.66,73,0.135
