GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021301141,1610612758,Kings,SAC,Sacramento,240:00,72.6,72.6,105.9,107.4,-33.3,-34.7,0.48,0.75,10.3,0.232,0.673,0.444,16.842,16.8,0.327,0.388,1.0,0.202,95.64,95.0,79.17,95,0.269
0021301141,1610612744,Warriors,GSW,Golden State,240:00,105.9,107.4,72.6,72.6,33.3,34.7,0.595,1.92,18.3,0.327,0.768,0.556,13.502,13.7,0.505,0.519,1.0,0.196,95.64,95.0,79.17,95,0.731
0021301142,1610612747,Lakers,LAL,Los Angeles,240:00,96.4,96.9,106.4,108.1,-10.0,-11.1,0.743,1.73,19.3,0.224,0.604,0.412,15.219,15.3,0.464,0.508,1.0,0.199,99.58,98.5,82.08,98,0.439
0021301142,1610612742,Mavericks,DAL,Dallas,240:00,106.4,108.1,96.4,96.9,10.0,11.1,0.636,1.65,19.5,0.396,0.776,0.588,16.899,17.2,0.505,0.543,1.0,0.197,99.58,98.5,82.08,99,0.561
0021301143,1610612753,Magic,ORL,Orlando,240:00,107.6,109.9,97.5,100.0,10.0,9.9,0.674,1.26,21.5,0.395,0.711,0.566,24.742,25.3,0.601,0.603,1.0,0.196,93.64,91.5,76.25,91,0.501
0021301143,1610612750,Timberwolves,MIN,Minnesota,240:00,97.5,100.0,107.6,109.9,-10.0,-9.9,0.722,2.0,20.3,0.289,0.605,0.434,13.783,14.1,0.474,0.515,1.0,0.199,93.64,91.5,76.25,92,0.499
0021301144,1610612764,Wizards,WAS,Washington,240:00,87.4,90.7,108.8,109.1,-21.4,-18.4,0.471,1.33,13.4,0.291,0.667,0.46,13.441,14.0,0.413,0.427,1.0,0.196,88.76,87.0,72.5,86,0.33
0021301144,1610612741,Bulls,CHI,Chicago,240:00,108.8,109.1,87.4,90.7,21.4,18.4,0.686,2.18,19.5,0.333,0.709,0.54,12.466,12.5,0.5,0.544,1.0,0.2,88.76,87.0,72.5,88,0.67
0021301145,1610612739,Cavaliers,CLE,Cleveland,265:00,88.5,91.3,93.3,92.3,-4.8,-1.0,0.629,2.0,15.9,0.226,0.75,0.484,10.354,10.7,0.401,0.447,1.0,0.198,94.7,93.74,78.11,103,0.469
0021301145,1610612766,Bobcats,CHA,Charlotte,265:00,93.3,92.3,88.5,91.3,4.8,1.0,0.676,1.92,16.7,0.25,0.774,0.516,11.664,11.5,0.423,0.467,1.0,0.202,94.7,93.74,78.11,104,0.531
0021301146,1610612765,Pistons,DET,Detroit,240:00,121.3,125.0,120.6,120.7,0.7,4.3,0.474,1.38,14.3,0.372,,,13.707,14.1,0.538,0.606,1.0,0.197,93.44,92.0,76.67,92,0.526
0021301146,1610612738,Celtics,BOS,Boston,240:00,120.6,120.7,121.3,125.0,-0.7,-4.3,0.595,2.08,18.9,,0.628,,13.038,13.0,0.557,0.584,1.0,0.2,93.44,92.0,76.67,92,0.474
0021301147,1610612755,76ers,PHI,Philadelphia,240:00,106.5,106.3,109.2,110.5,-2.8,-4.2,0.75,2.08,20.6,0.234,0.767,0.489,13.702,13.7,0.519,0.556,1.0,0.2,95.5,95.0,79.17,95,0.447
0021301147,1610612751,Nets,BKN,Brooklyn,240:00,109.2,110.5,106.5,106.3,2.8,4.2,0.707,2.07,21.8,0.233,0.766,0.511,14.565,14.7,0.55,0.583,1.0,0.194,95.5,95.0,79.17,95,0.553
0021301148,1610612761,Raptors,TOR,Toronto,240:00,115.0,117.2,110.3,114.0,4.8,3.3,0.556,2.0,16.6,0.37,,,11.276,11.5,0.519,0.562,1.0,0.199,88.78,86.5,72.08,87,0.48
0021301148,1610612749,Bucks,MIL,Milwaukee,240:00,110.3,114.0,115.0,117.2,-4.8,-3.3,0.737,2.8,21.7,,0.63,,11.251,11.6,0.487,0.539,1.0,0.2,88.78,86.5,72.08,86,0.52
0021301149,1610612752,Knicks,NYK,New York,240:00,101.4,108.3,122.6,121.4,-21.2,-13.1,0.545,1.64,14.7,0.4,,,12.26,13.1,0.46,0.485,1.0,0.197,86.46,84.0,70.0,84,0.381
0021301149,1610612748,Heat,MIA,Miami,240:00,122.6,121.4,101.4,108.3,21.2,13.1,0.647,1.38,19.6,,0.6,,19.231,19.0,0.656,0.687,1.0,0.202,86.46,84.0,70.0,84,0.619
0021301150,1610612747,Lakers,LAL,Los Angeles,240:00,94.1,93.3,116.0,115.4,-21.9,-22.1,0.722,1.73,19.0,,0.775,,14.546,14.4,0.459,0.505,1.0,0.198,103.28,104.0,86.67,104,0.371
0021301150,1610612746,Clippers,LAC,Los Angeles,240:00,116.0,115.4,94.1,93.3,21.9,22.1,0.596,1.65,20.1,0.225,,,16.435,16.3,0.627,0.635,1.0,0.197,103.28,104.0,86.67,104,0.629
0021301151,1610612758,Kings,SAC,Sacramento,240:00,99.1,103.4,104.3,106.9,-5.2,-3.5,0.583,1.62,17.7,0.302,0.655,0.5,14.161,14.8,0.507,0.537,1.0,0.2,90.48,87.5,72.92,88,0.509
0021301151,1610612742,Mavericks,DAL,Dallas,240:00,104.3,106.9,99.1,103.4,5.2,3.5,0.639,2.3,17.9,0.345,0.698,0.5,11.216,11.5,0.478,0.489,1.0,0.2,90.48,87.5,72.92,87,0.491
0021301152,1610612754,Pacers,IND,Indiana,240:00,95.4,95.7,117.0,117.6,-21.5,-21.9,0.563,1.64,15.0,0.264,0.8,0.477,11.931,12.0,0.442,0.482,1.0,0.202,91.84,91.5,76.25,92,0.358
0021301152,1610612737,Hawks,ATL,Atlanta,240:00,117.0,117.6,95.4,95.7,21.5,21.9,0.537,1.38,18.6,0.2,0.736,0.523,17.49,17.6,0.644,0.665,1.0,0.199,91.84,91.5,76.25,91,0.642
0021301153,1610612745,Rockets,HOU,Houston,265:00,112.5,112.1,105.3,108.7,7.2,3.4,0.533,1.6,15.5,0.3,0.655,0.475,12.976,12.9,0.526,0.562,1.0,0.201,106.11,104.6,87.17,116,0.522
0021301153,1610612743,Nuggets,DEN,Denver,265:00,105.3,108.7,112.5,112.1,-7.2,-3.4,0.549,1.33,17.3,0.345,0.7,0.525,17.689,18.3,0.542,0.554,1.0,0.202,106.11,104.6,87.17,115,0.478
0021301154,1610612759,Spurs,SAS,San Antonio,240:00,118.0,119.1,96.4,97.9,21.6,21.3,0.628,1.69,21.1,0.229,0.692,0.506,16.856,17.0,0.617,0.659,1.0,0.198,95.2,94.0,78.33,94,0.64
0021301154,1610612763,Grizzlies,MEM,Memphis,240:00,96.4,97.9,118.0,119.1,-21.6,-21.3,0.579,1.47,16.9,0.308,0.771,0.494,15.71,16.0,0.471,0.492,1.0,0.197,95.2,94.0,78.33,94,0.36
