GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021700571,1610612761,Raptors,TOR,Toronto,240:00,132.6,131.6,114.9,113.4,17.7,18.2,0.521,2.27,18.6,0.317,0.816,0.557,11.303,11.2,0.616,0.656,1.0,0.196,96.54,97.5,81.25,98,0.586
0021700571,1610612749,Bucks,MIL,Milwaukee,240:00,114.9,113.4,132.6,131.6,-17.7,-18.2,0.634,2.36,20.5,0.184,0.683,0.443,11.487,11.3,0.578,0.613,1.0,0.198,96.54,97.5,81.25,97,0.414
0021700572,1610612742,Mavericks,DAL,Dallas,240:00,117.6,121.6,123.7,124.5,-6.2,-2.9,0.673,2.54,22.7,0.261,0.737,0.476,12.325,12.7,0.609,0.623,1.0,0.199,104.06,102.0,85.0,102,0.483
0021700572,1610612741,Bulls,CHI,Chicago,240:00,123.7,124.5,117.6,121.6,6.2,2.9,0.568,1.32,18.4,0.263,0.739,0.524,18.511,18.6,0.654,0.693,1.0,0.199,104.06,102.0,85.0,102,0.517
0021700573,1610612759,Spurs,SAS,San Antonio,240:00,98.2,99.0,84.8,84.0,13.3,15.1,0.512,1.24,15.8,0.208,0.788,0.51,16.203,16.3,0.534,0.543,1.0,0.197,104.92,105.0,87.5,104,0.597
0021700573,1610612756,Suns,PHX,Phoenix,240:00,84.8,84.0,98.2,99.0,-13.3,-15.1,0.629,0.96,16.2,0.212,0.792,0.49,21.921,21.7,0.464,0.489,1.0,0.198,104.92,105.0,87.5,106,0.403
0021700574,1610612762,Jazz,UTA,Utah,240:00,95.1,94.8,100.4,103.1,-5.3,-8.3,0.684,1.53,20.1,0.213,0.902,0.571,17.775,17.7,0.524,0.525,1.0,0.199,97.12,96.0,80.0,96,0.503
0021700574,1610612743,Nuggets,DEN,Denver,240:00,100.4,103.1,95.1,94.8,5.3,8.3,0.632,2.4,19.0,0.098,0.787,0.429,10.142,10.4,0.523,0.535,1.0,0.197,97.12,96.0,80.0,96,0.497
0021700575,1610612764,Wizards,WAS,Washington,240:00,101.0,101.0,97.6,100.0,3.4,1.0,0.636,1.5,15.7,0.283,0.709,0.5,13.867,13.9,0.452,0.515,1.0,0.198,101.7,100.5,83.75,101,0.521
0021700575,1610612763,Grizzlies,MEM,Memphis,240:00,97.6,100.0,101.0,101.0,-3.4,-1.0,0.571,1.25,15.0,0.291,0.717,0.5,15.619,16.0,0.465,0.513,1.0,0.201,101.7,100.5,83.75,100,0.479
0021700576,1610612757,Trail Blazers,POR,Portland,240:00,112.1,110.0,89.9,89.0,22.2,21.0,0.698,1.67,22.4,0.225,0.759,0.532,18.337,18.0,0.619,0.638,1.0,0.196,98.58,100.0,83.33,100,0.671
0021700576,1610612737,Hawks,ATL,Atlanta,240:00,89.9,89.0,112.1,110.0,-22.2,-21.0,0.467,0.88,11.3,0.241,0.775,0.468,16.162,16.0,0.41,0.473,1.0,0.2,98.58,100.0,83.33,100,0.329
0021700577,1610612747,Lakers,LAL,Los Angeles,240:00,91.0,93.1,102.8,106.9,-11.8,-13.9,0.632,1.5,17.2,0.259,0.621,0.44,15.492,15.8,0.452,0.473,1.0,0.198,104.16,101.0,84.17,101,0.419
0021700577,1610612766,Hornets,CHA,Charlotte,240:00,102.8,106.9,91.0,93.1,11.8,13.9,0.619,1.73,17.7,0.379,0.741,0.56,14.28,14.9,0.485,0.509,1.0,0.198,104.16,101.0,84.17,101,0.581
0021700578,1610612746,Clippers,LAC,LA,240:00,93.6,99.1,106.8,113.1,-13.2,-14.0,0.487,1.06,13.5,0.263,0.617,0.444,16.043,17.0,0.445,0.504,1.0,0.195,112.74,106.5,88.75,106,0.404
0021700578,1610612744,Warriors,GSW,Golden State,240:00,106.8,113.1,93.6,99.1,13.2,14.0,0.795,1.82,19.6,0.383,0.737,0.556,15.007,15.9,0.484,0.549,1.0,0.198,112.74,106.5,88.75,107,0.596
0021700579,1610612738,Celtics,BOS,Boston,240:00,89.1,92.6,79.7,89.5,9.5,3.1,0.324,2.4,9.9,0.281,0.548,0.413,5.123,5.3,0.403,0.416,1.0,0.199,102.14,94.5,78.75,94,0.521
0021700579,1610612751,Nets,BKN,Brooklyn,240:00,79.7,89.5,89.1,92.6,-9.5,-3.1,0.367,0.61,8.5,0.452,0.719,0.587,16.873,18.9,0.363,0.422,1.0,0.197,102.14,94.5,78.75,95,0.479
0021700580,1610612745,Rockets,HOU,Houston,240:00,103.2,107.4,113.8,114.9,-10.6,-7.4,0.763,1.93,20.9,0.327,0.769,0.516,15.331,16.0,0.506,0.532,1.0,0.195,96.36,94.0,78.33,94,0.461
0021700580,1610612765,Pistons,DET,Detroit,240:00,113.8,114.9,103.2,107.4,10.6,7.4,0.553,1.62,17.4,0.231,0.673,0.484,13.702,13.8,0.587,0.622,1.0,0.198,96.36,94.0,78.33,94,0.539
0021700581,1610612754,Pacers,IND,Indiana,240:00,129.0,133.0,89.8,90.5,39.2,42.5,0.5,1.85,18.3,0.35,0.75,0.576,13.413,13.8,0.645,0.665,1.0,0.196,96.36,94.5,78.75,94,0.716
0021700581,1610612741,Bulls,CHI,Chicago,240:00,89.8,90.5,129.0,133.0,-39.2,-42.5,0.5,0.94,12.5,0.25,0.65,0.424,16.701,16.8,0.438,0.484,1.0,0.2,96.36,94.5,78.75,95,0.284
0021700582,1610612753,Magic,ORL,Orlando,240:00,111.7,117.6,117.3,120.2,-5.6,-2.6,0.592,1.45,18.5,0.358,0.654,0.505,17.593,18.5,0.571,0.59,1.0,0.194,112.66,108.5,90.42,108,0.478
0021700582,1610612739,Cavaliers,CLE,Cleveland,240:00,117.3,120.2,111.7,117.6,5.6,2.6,0.532,1.39,16.6,0.346,0.642,0.495,16.123,16.5,0.58,0.609,1.0,0.197,112.66,108.5,90.42,109,0.522
0021700583,1610612764,Wizards,WAS,Washington,240:00,102.2,103.0,110.9,110.0,-8.7,-7.0,0.676,1.79,19.3,0.178,0.721,0.443,13.894,14.0,0.526,0.567,1.0,0.199,99.98,100.0,83.33,100,0.467
0021700583,1610612749,Bucks,MIL,Milwaukee,240:00,110.9,110.0,102.2,103.0,8.7,7.0,0.513,1.25,15.5,0.279,0.822,0.557,16.129,16.0,0.531,0.59,1.0,0.2,99.98,100.0,83.33,100,0.533
0021700584,1610612740,Pelicans,NOP,New Orleans,240:00,98.7,100.0,120.5,120.8,-21.9,-20.8,0.606,1.25,15.8,0.239,0.681,0.462,16.11,16.3,0.462,0.543,1.0,0.198,97.78,97.0,80.83,98,0.402
0021700584,1610612750,Timberwolves,MIN,Minnesota,240:00,120.5,120.8,98.7,100.0,21.9,20.8,0.591,2.6,19.2,0.319,0.761,0.538,10.391,10.4,0.539,0.584,1.0,0.2,97.78,97.0,80.83,96,0.598
0021700585,1610612758,Kings,SAC,Sacramento,240:00,105.5,105.0,94.9,97.0,10.6,7.9,0.5,2.33,16.0,0.208,0.733,0.449,8.957,8.9,0.495,0.522,1.0,0.199,101.86,101.0,84.17,101,0.551
0021700585,1610612743,Nuggets,DEN,Denver,240:00,94.9,97.0,105.5,105.0,-10.6,-7.9,0.571,0.77,15.2,0.267,0.792,0.551,25.184,25.7,0.546,0.575,1.0,0.198,101.86,101.0,84.17,101,0.449
