GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021300796,1610612752,Knicks,NYK,New York,240:00,101.3,104.5,109.4,110.1,-8.1,-5.6,0.429,1.25,12.4,0.38,0.667,0.506,13.072,13.5,0.447,0.496,1.0,0.2,90.68,89.0,74.17,89,0.44
0021300796,1610612763,Grizzlies,MEM,Memphis,240:00,109.4,110.1,101.3,104.5,8.1,5.6,0.541,1.43,16.7,0.333,0.62,0.494,15.632,15.7,0.533,0.573,1.0,0.201,90.68,89.0,74.17,89,0.56
0021300797,1610612753,Magic,ORL,Orlando,240:00,105.2,109.9,110.4,113.0,-5.2,-3.2,0.65,1.73,20.3,,0.62,,15.783,16.5,0.569,0.574,1.0,0.2,94.62,91.5,76.25,91,0.474
0021300797,1610612749,Bucks,MIL,Milwaukee,240:00,110.4,113.0,105.2,109.9,5.2,3.2,0.714,2.27,19.1,0.38,,,11.677,12.0,0.5,0.546,1.0,0.202,94.62,91.5,76.25,92,0.526
0021300798,1610612748,Heat,MIA,Miami,240:00,126.4,125.8,112.7,112.8,13.7,13.0,0.659,2.42,22.6,,0.51,,12.965,12.9,0.636,0.668,1.0,0.199,93.32,93.5,77.92,93,0.563
0021300798,1610612742,Mavericks,DAL,Dallas,240:00,112.7,112.8,126.4,125.8,-13.7,-13.0,0.588,1.25,14.8,0.49,,,17.007,17.0,0.453,0.535,1.0,0.202,93.32,93.5,77.92,94,0.437
0021300799,1610612756,Suns,PHX,Phoenix,265:00,100.8,102.8,96.2,97.3,4.6,5.5,0.6,1.31,14.3,0.339,0.656,0.5,14.394,14.7,0.435,0.508,1.0,0.201,100.73,99.17,82.64,109,0.526
0021300799,1610612743,Nuggets,DEN,Denver,265:00,96.2,97.3,100.8,102.8,-4.6,-5.5,0.447,1.31,11.7,0.344,0.661,0.5,11.682,11.8,0.409,0.464,1.0,0.2,100.73,99.17,82.64,110,0.474
0021300800,1610612759,Spurs,SAS,San Antonio,240:00,110.5,113.0,102.3,104.0,8.3,9.0,0.591,1.53,18.5,0.362,0.76,0.567,16.628,17.0,0.551,0.581,1.0,0.2,101.48,99.5,82.92,100,0.539
0021300800,1610612746,Clippers,LAC,Los Angeles,240:00,102.3,104.0,110.5,113.0,-8.3,-9.0,0.543,1.58,14.8,0.24,0.638,0.433,11.914,12.1,0.469,0.527,1.0,0.201,101.48,99.5,82.92,99,0.461
