GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0020700421,1610612760,SuperSonics,SEA,Seattle,240:00,104.2,105.5,112.0,113.0,-7.8,-7.5,0.514,1.58,15.6,0.289,0.695,0.519,13.026,13.2,0.481,0.527,1.0,0.198,92.48,91.5,76.25,91,0.497
0020700421,1610612738,Celtics,BOS,Boston,240:00,112.0,113.0,104.2,105.5,7.8,7.5,0.618,4.2,16.4,0.305,0.711,0.481,5.386,5.4,0.448,0.511,1.0,0.198,92.48,91.5,76.25,92,0.503
0020700422,1610612740,Hornets,NOH,New Orleans,240:00,104.1,105.3,91.2,90.4,12.9,14.9,0.595,1.57,17.2,,0.787,,14.718,14.9,0.488,0.537,1.0,0.198,94.18,94.0,78.33,94,0.613
0020700422,1610612766,Bobcats,CHA,Charlotte,240:00,91.2,90.4,104.1,105.3,-12.9,-14.9,0.531,1.13,14.3,0.213,,,16.088,16.0,0.442,0.487,1.0,0.2,94.18,94.0,78.33,94,0.387
0020700423,1610612764,Wizards,WAS,Washington,240:00,115.4,119.1,123.0,122.5,-7.6,-3.4,0.526,1.82,15.5,0.449,0.617,0.531,11.972,12.4,0.488,0.541,1.0,0.198,90.26,89.0,74.17,89,0.446
0020700423,1610612751,Nets,NJN,New Jersey,240:00,123.0,122.5,115.4,119.1,7.6,3.4,0.722,2.89,19.9,0.383,0.551,0.469,10.153,10.1,0.488,0.57,1.0,0.201,90.26,89.0,74.17,89,0.554
0020700424,1610612753,Magic,ORL,Orlando,265:00,116.0,118.6,112.2,112.9,3.8,5.8,0.558,1.41,16.3,0.444,0.778,0.596,16.296,16.7,0.521,0.569,1.0,0.198,93.26,91.92,76.6,102,0.506
0020700424,1610612748,Heat,MIA,Miami,265:00,112.2,112.9,116.0,118.6,-3.8,-5.8,0.581,2.5,18.7,0.222,0.556,0.404,9.839,9.9,0.535,0.578,1.0,0.201,93.26,91.92,76.6,101,0.494
0020700425,1610612754,Pacers,IND,Indiana,240:00,102.7,104.1,117.5,118.8,-14.8,-14.6,0.579,1.38,16.8,0.341,0.62,0.489,16.273,16.5,0.506,0.541,1.0,0.199,97.66,96.5,80.42,97,0.418
0020700425,1610612765,Pistons,DET,Detroit,240:00,117.5,118.8,102.7,104.1,14.8,14.6,0.659,2.23,20.3,0.38,0.659,0.511,13.402,13.5,0.528,0.564,1.0,0.198,97.66,96.5,80.42,96,0.582
