GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0020801066,1610612740,Hornets,NOH,New Orleans,240:00,95.4,98.9,109.1,111.0,-13.7,-12.1,0.655,1.0,15.9,0.244,0.638,0.455,20.607,21.3,0.463,0.542,1.0,0.194,92.38,90.0,75.0,89,0.444
0020801066,1610612743,Nuggets,DEN,Denver,240:00,109.1,111.0,95.4,98.9,13.7,12.1,0.4,1.17,11.9,0.362,0.756,0.545,12.965,13.2,0.481,0.552,1.0,0.197,92.38,90.0,75.0,91,0.556
0020801067,1610612753,Magic,ORL,Orlando,240:00,93.9,95.5,92.6,93.2,1.3,2.3,0.633,1.36,15.6,0.283,,,15.646,15.9,0.432,0.475,1.0,0.199,89.04,88.0,73.33,88,0.51
0020801067,1610612738,Celtics,BOS,Boston,240:00,92.6,93.2,93.9,95.5,-1.3,-2.3,0.424,0.78,12.2,,0.717,,20.316,20.5,0.461,0.496,1.0,0.199,89.04,88.0,73.33,88,0.49
0020801068,1610612744,Warriors,GSW,Golden State,240:00,106.3,105.0,125.4,126.7,-19.1,-21.8,0.553,1.5,16.4,0.174,0.647,0.375,14.034,13.9,0.519,0.571,1.0,0.2,100.92,101.0,84.17,101,0.359
0020801068,1610612742,Mavericks,DAL,Dallas,240:00,125.4,126.7,106.3,105.0,19.1,21.8,0.563,1.93,19.7,0.353,0.826,0.625,13.715,13.9,0.61,0.666,1.0,0.202,100.92,101.0,84.17,101,0.641
0020801069,1610612762,Jazz,UTA,Utah,240:00,110.8,112.9,118.1,115.7,-7.3,-2.8,0.605,2.17,17.9,0.328,0.75,0.5,11.664,11.9,0.516,0.533,1.0,0.2,101.38,101.5,84.58,101,0.43
0020801069,1610612756,Suns,PHX,Phoenix,240:00,118.1,115.7,110.8,112.9,7.3,2.8,0.689,2.21,22.3,0.25,0.672,0.5,14.017,13.7,0.585,0.628,1.0,0.202,101.38,101.5,84.58,102,0.57
0020801070,1610612747,Lakers,LAL,Los Angeles,240:00,100.7,102.2,87.1,86.5,13.6,15.7,0.686,1.85,19.6,0.25,0.755,0.516,14.229,14.4,0.494,0.539,1.0,0.199,89.86,89.5,74.58,90,0.639
0020801070,1610612765,Pistons,DET,Detroit,240:00,87.1,86.5,100.7,102.2,-13.6,-15.7,0.6,1.2,15.3,0.245,0.75,0.484,16.976,16.9,0.414,0.456,1.0,0.201,89.86,89.5,74.58,89,0.361
0020801071,1610612748,Heat,MIA,Miami,240:00,102.1,103.6,119.4,123.3,-17.3,-19.7,0.529,1.29,15.6,0.31,0.538,0.42,16.424,16.7,0.48,0.523,1.0,0.197,87.02,85.0,70.83,84,0.39
0020801071,1610612741,Bulls,CHI,Chicago,240:00,119.4,123.3,102.1,103.6,17.3,19.7,0.585,1.5,18.9,0.462,0.69,0.58,18.018,18.6,0.577,0.611,1.0,0.196,87.02,85.0,70.83,86,0.61
0020801072,1610612757,Trail Blazers,POR,Portland,240:00,133.2,134.4,110.1,112.4,23.1,22.0,0.6,2.31,21.8,0.333,0.588,0.483,13.419,13.5,0.657,0.68,1.0,0.198,97.96,96.5,80.42,96,0.63
0020801072,1610612756,Suns,PHX,Phoenix,240:00,110.1,112.4,133.2,134.4,-23.1,-22.0,0.468,1.47,15.9,0.412,0.667,0.517,15.145,15.5,0.532,0.539,1.0,0.198,97.96,96.5,80.42,97,0.37
0020801073,1610612753,Magic,ORL,Orlando,240:00,113.3,115.8,94.4,97.9,18.9,17.9,0.512,1.91,16.7,0.244,0.683,0.495,11.331,11.6,0.569,0.585,1.0,0.196,98.32,95.5,79.58,95,0.646
0020801073,1610612749,Bucks,MIL,Milwaukee,240:00,94.4,97.9,113.3,115.8,-18.9,-17.9,0.417,1.5,11.8,0.317,0.756,0.505,10.044,10.4,0.424,0.458,1.0,0.199,98.32,95.5,79.58,96,0.354
0020801074,1610612755,76ers,PHI,Philadelphia,240:00,104.9,108.0,109.0,112.4,-4.0,-4.4,0.438,1.0,12.6,0.225,0.5,0.363,15.466,15.9,0.493,0.569,1.0,0.199,91.14,88.5,73.75,88,0.441
0020801074,1610612766,Bobcats,CHA,Charlotte,240:00,109.0,112.4,104.9,108.0,4.0,4.4,0.568,1.05,16.7,0.5,0.775,0.638,21.796,22.5,0.556,0.59,1.0,0.197,91.14,88.5,73.75,89,0.559
0020801075,1610612761,Raptors,TOR,Toronto,240:00,112.0,113.1,96.2,98.0,15.8,15.2,0.75,2.57,24.2,0.333,0.811,0.584,14.006,14.1,0.547,0.566,1.0,0.197,99.86,98.5,82.08,99,0.616
