GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021601126,1610612761,Raptors,TOR,Toronto,240:00,116.4,115.6,101.8,105.3,14.6,10.4,0.622,1.64,17.1,0.385,,,14.675,14.6,0.537,0.57,1.0,0.203,96.82,95.5,79.58,96,0.561
0021601126,1610612754,Pacers,IND,Indiana,240:00,101.8,105.3,116.4,115.6,-14.6,-10.4,0.528,1.36,14.7,,0.615,,14.251,14.7,0.477,0.52,1.0,0.198,96.82,95.5,79.58,95,0.439
0021601127,1610612743,Nuggets,DEN,Denver,240:00,116.5,117.5,126.8,125.8,-10.3,-8.2,0.711,2.46,22.9,0.234,,,13.287,13.4,0.589,0.601,1.0,0.197,97.02,97.0,80.83,97,0.475
0021601127,1610612766,Hornets,CHA,Charlotte,240:00,126.8,125.8,116.5,117.5,10.3,8.2,0.65,3.71,19.7,,0.766,,7.277,7.2,0.564,0.615,1.0,0.196,97.02,97.0,80.83,97,0.525
0021601128,1610612755,76ers,PHI,Philadelphia,240:00,103.6,107.1,124.4,123.2,-20.8,-16.1,0.65,1.44,19.4,0.191,,,17.758,18.4,0.555,0.581,1.0,0.196,99.7,98.5,82.08,98,0.418
0021601128,1610612739,Cavaliers,CLE,Cleveland,240:00,124.4,123.2,103.6,107.1,20.8,16.1,0.6,3.33,21.3,,0.809,,9.18,9.1,0.595,0.598,1.0,0.195,99.7,98.5,82.08,99,0.582
0021601129,1610612753,Magic,ORL,Orlando,240:00,108.4,113.7,111.5,112.5,-3.1,1.2,0.7,3.11,19.2,0.271,0.816,0.519,8.411,8.8,0.469,0.532,1.0,0.2,105.98,103.0,85.83,102,0.485
0021601129,1610612738,Celtics,BOS,Boston,240:00,111.5,112.5,108.4,113.7,3.1,-1.2,0.711,2.45,19.7,0.184,0.729,0.481,10.48,10.6,0.524,0.591,1.0,0.2,105.98,103.0,85.83,104,0.515
0021601130,1610612749,Bucks,MIL,Milwaukee,265:00,105.9,108.0,101.9,105.0,4.0,3.0,0.714,2.08,18.4,0.236,0.702,0.473,11.769,12.0,0.5,0.546,1.0,0.198,92.83,90.57,75.47,100,0.515
0021601130,1610612765,Pistons,DET,Detroit,265:00,101.9,105.0,105.9,108.0,-4.0,-3.0,0.568,2.08,17.7,0.298,0.764,0.527,11.646,12.0,0.49,0.505,1.0,0.198,92.83,90.57,75.47,100,0.485
0021601131,1610612763,Grizzlies,MEM,Memphis,240:00,110.2,108.8,100.0,100.0,10.2,8.8,0.657,1.64,19.0,,0.837,,15.59,15.4,0.54,0.591,1.0,0.198,89.9,90.5,75.42,91,0.581
0021601131,1610612742,Mavericks,DAL,Dallas,240:00,100.0,100.0,110.2,108.8,-10.2,-8.8,0.517,1.67,13.5,0.163,,,10.0,10.0,0.461,0.517,1.0,0.2,89.9,90.5,75.42,90,0.419
0021601132,1610612758,Kings,SAC,Sacramento,240:00,85.2,86.4,111.0,114.7,-25.9,-28.3,0.514,0.86,13.2,0.321,0.75,0.528,20.1,20.4,0.422,0.457,1.0,0.198,104.92,102.5,85.42,103,0.335
0021601132,1610612740,Pelicans,NOP,New Orleans,240:00,111.0,114.7,85.2,86.4,25.9,28.3,0.609,2.33,19.5,0.25,0.679,0.472,11.39,11.8,0.537,0.566,1.0,0.198,104.92,102.5,85.42,102,0.665
0021601133,1610612752,Knicks,NYK,New York,240:00,104.8,106.5,96.9,101.1,7.9,5.4,0.658,1.79,19.8,0.214,0.679,0.474,14.976,15.2,0.513,0.56,1.0,0.199,95.24,92.5,77.08,92,0.587
0021601133,1610612748,Heat,MIA,Miami,240:00,96.9,101.1,104.8,106.5,-7.9,-5.4,0.5,1.21,13.6,0.321,0.786,0.526,14.433,15.1,0.458,0.5,1.0,0.196,95.24,92.5,77.08,93,0.413
0021601134,1610612764,Wizards,WAS,Washington,240:00,92.6,97.8,104.8,104.4,-12.2,-6.6,0.343,0.8,9.9,,0.767,,15.783,16.7,0.431,0.468,1.0,0.196,92.84,90.5,75.42,90,0.386
0021601134,1610612762,Jazz,UTA,Utah,240:00,104.8,104.4,92.6,97.8,12.2,6.6,0.606,1.67,17.0,0.233,,,13.239,13.2,0.528,0.555,1.0,0.197,92.84,90.5,75.42,91,0.614
0021601135,1610612759,Spurs,SAS,San Antonio,240:00,102.2,104.2,97.1,99.0,5.1,5.2,0.622,1.64,17.2,0.308,0.633,0.465,14.303,14.6,0.488,0.516,1.0,0.198,97.88,96.0,80.0,96,0.51
0021601135,1610612760,Thunder,OKC,Oklahoma City,240:00,97.1,99.0,102.2,104.2,-5.1,-5.2,0.636,1.17,15.9,0.367,0.692,0.535,18.39,18.8,0.444,0.511,1.0,0.202,97.88,96.0,80.0,96,0.49
0021601136,1610612745,Rockets,HOU,Houston,240:00,99.9,102.1,106.8,112.6,-7.0,-10.5,0.588,1.33,14.7,0.367,0.648,0.5,15.287,15.6,0.44,0.485,1.0,0.195,99.14,95.5,79.58,96,0.431
0021601136,1610612744,Warriors,GSW,Golden State,240:00,106.8,112.6,99.9,102.1,7.0,10.5,0.628,2.25,19.3,0.352,0.633,0.5,11.981,12.6,0.511,0.529,1.0,0.196,99.14,95.5,79.58,95,0.569
0021601137,1610612747,Lakers,LAL,Los Angeles,240:00,103.8,106.1,117.4,116.2,-13.6,-10.0,0.667,2.17,18.4,0.298,,,11.976,12.2,0.467,0.504,1.0,0.196,99.08,98.5,82.08,98,0.405
0021601137,1610612746,Clippers,LAC,LA,240:00,117.4,116.2,103.8,106.1,13.6,10.0,0.632,1.33,19.1,,0.702,,18.375,18.2,0.63,0.685,1.0,0.2,99.08,98.5,82.08,99,0.595
0021601138,1610612741,Bulls,CHI,Chicago,240:00,109.1,109.3,104.5,107.2,4.6,2.1,0.625,2.08,19.5,0.2,0.712,0.474,12.351,12.4,0.541,0.581,1.0,0.202,98.32,97.0,80.83,97,0.531
0021601138,1610612737,Hawks,ATL,Atlanta,240:00,104.5,107.2,109.1,109.3,-4.6,-2.1,0.625,1.92,18.5,0.288,0.8,0.526,13.068,13.4,0.506,0.533,1.0,0.199,98.32,97.0,80.83,97,0.469
0021601139,1610612753,Magic,ORL,Orlando,240:00,110.3,112.1,117.4,119.8,-7.1,-7.7,0.578,1.86,18.9,0.25,0.696,0.468,13.917,14.1,0.549,0.569,1.0,0.199,101.82,100.0,83.33,99,0.457
0021601139,1610612751,Nets,BKN,Brooklyn,240:00,117.4,119.8,110.3,112.1,7.1,7.7,0.52,2.36,18.8,0.304,0.75,0.532,10.675,10.9,0.574,0.599,1.0,0.198,101.82,100.0,83.33,101,0.543
0021601140,1610612758,Kings,SAC,Sacramento,240:00,120.0,119.4,111.7,112.5,8.3,6.9,0.614,1.59,19.8,,0.712,,16.582,16.5,0.635,0.665,1.0,0.199,103.62,103.5,86.25,103,0.516
0021601140,1610612750,Timberwolves,MIN,Minnesota,240:00,111.7,112.5,120.0,119.4,-8.3,-6.9,0.692,2.45,19.1,0.288,,,10.504,10.6,0.5,0.564,1.0,0.2,103.62,103.5,86.25,104,0.484
