GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021000331,1610612761,Raptors,TOR,Toronto,240:00,117.9,118.4,120.2,125.5,-2.3,-7.1,0.435,1.54,15.2,0.319,0.686,0.476,13.217,13.3,0.567,0.59,1.0,0.199,100.34,98.0,81.67,98,0.437
0021000331,1610612743,Nuggets,DEN,Denver,240:00,120.2,125.5,117.9,118.4,2.3,7.1,0.628,1.23,19.7,0.314,0.681,0.524,21.501,22.4,0.645,0.696,1.0,0.194,100.34,98.0,81.67,98,0.563
0021000332,1610612764,Wizards,WAS,Washington,240:00,94.2,95.0,100.8,101.0,-6.6,-6.0,0.629,1.38,16.4,0.283,0.762,0.495,15.86,16.0,0.452,0.495,1.0,0.202,100.54,100.0,83.33,100,0.447
0021000332,1610612752,Knicks,NYK,New York,240:00,100.8,101.0,94.2,95.0,6.6,6.0,0.559,0.95,14.9,0.238,0.717,0.505,19.96,20.0,0.5,0.573,1.0,0.2,100.54,100.0,83.33,100,0.553
0021000333,1610612747,Lakers,LAL,Los Angeles,240:00,88.5,87.5,90.3,91.7,-1.8,-4.2,0.588,1.05,16.0,0.261,0.681,0.473,20.017,19.8,0.455,0.489,1.0,0.202,96.2,96.0,80.0,96,0.535
0021000333,1610612741,Bulls,CHI,Chicago,240:00,90.3,91.7,88.5,87.5,1.8,4.2,0.576,0.9,14.9,0.319,0.739,0.527,21.543,21.9,0.463,0.503,1.0,0.199,96.2,96.0,80.0,96,0.465
0021000334,1610612750,Timberwolves,MIN,Minnesota,240:00,117.6,116.0,100.2,105.3,17.4,10.6,0.5,1.4,16.6,0.359,0.585,0.489,16.185,16.0,0.562,0.601,1.0,0.201,95.76,94.0,78.33,94,0.584
0021000334,1610612765,Pistons,DET,Detroit,240:00,100.2,105.3,117.6,116.0,-17.4,-10.6,0.625,1.43,15.1,0.415,0.641,0.511,14.164,14.9,0.41,0.501,1.0,0.199,95.76,94.0,78.33,94,0.416
0021000335,1610612760,Thunder,OKC,Oklahoma City,240:00,102.7,105.4,99.9,101.1,2.8,4.3,0.514,0.9,15.1,0.27,0.69,0.494,21.177,21.7,0.529,0.596,1.0,0.195,93.28,91.5,76.25,92,0.516
0021000335,1610612740,Hornets,NOH,New Orleans,240:00,99.9,101.1,102.7,105.4,-2.8,-4.3,0.571,1.05,16.2,0.31,0.73,0.506,20.625,20.9,0.507,0.547,1.0,0.2,93.28,91.5,76.25,91,0.484
0021000336,1610612749,Bucks,MIL,Milwaukee,240:00,101.0,101.0,94.1,95.8,6.9,5.3,0.447,1.0,13.7,0.289,0.8,0.558,17.708,17.7,0.506,0.539,1.0,0.196,96.34,95.5,79.58,96,0.546
0021000336,1610612745,Rockets,HOU,Houston,240:00,94.1,95.8,101.0,101.0,-6.9,-5.3,0.515,1.21,14.0,0.2,0.711,0.442,14.481,14.7,0.444,0.502,1.0,0.201,96.34,95.5,79.58,95,0.454
0021000337,1610612759,Spurs,SAS,San Antonio,240:00,116.1,117.4,98.1,100.0,18.0,17.4,0.488,1.43,16.4,0.268,0.735,0.522,15.054,15.2,0.597,0.614,1.0,0.198,93.4,92.0,76.67,92,0.592
0021000337,1610612737,Hawks,ATL,Atlanta,240:00,98.1,100.0,116.1,117.4,-18.0,-17.4,0.528,1.19,15.3,0.265,0.732,0.478,17.058,17.4,0.494,0.518,1.0,0.197,93.4,92.0,76.67,92,0.408
0021000338,1610612757,Trail Blazers,POR,Portland,240:00,110.9,109.8,102.8,103.3,8.1,6.5,0.6,1.62,17.6,0.256,0.674,0.482,14.273,14.1,0.528,0.594,1.0,0.202,91.28,91.5,76.25,92,0.588
0021000338,1610612756,Suns,PHX,Phoenix,240:00,102.8,103.3,110.9,109.8,-8.1,-6.5,0.351,0.93,11.1,0.326,0.744,0.518,15.304,15.4,0.464,0.519,1.0,0.197,91.28,91.5,76.25,91,0.412
0021000339,1610612762,Jazz,UTA,Utah,240:00,120.5,127.2,110.2,112.9,10.4,14.3,0.732,2.73,22.9,,,,11.331,12.0,0.605,0.649,1.0,0.188,96.2,92.5,77.08,92,0.605
0021000339,1610612753,Magic,ORL,Orlando,240:00,110.2,112.9,120.5,127.2,-10.4,-14.3,0.474,1.2,14.4,,,,15.736,16.1,0.531,0.569,1.0,0.198,96.2,92.5,77.08,93,0.395
0021000340,1610612748,Heat,MIA,Miami,240:00,116.2,116.5,92.1,92.3,24.1,24.2,0.805,1.74,23.7,0.381,0.679,0.551,20.824,20.9,0.583,0.608,1.0,0.192,91.24,91.0,75.83,91,0.657
0021000340,1610612744,Warriors,GSW,Golden State,240:00,92.1,92.3,116.2,116.5,-24.1,-24.2,0.774,1.6,18.3,0.321,0.619,0.449,16.44,16.5,0.422,0.455,1.0,0.198,91.24,91.0,75.83,91,0.343
0021000341,1610612763,Grizzlies,MEM,Memphis,240:00,88.5,93.3,91.9,93.3,-3.4,0.1,0.606,1.18,16.1,0.327,0.6,0.449,17.91,18.9,0.443,0.483,1.0,0.198,92.6,89.5,74.58,90,0.479
0021000341,1610612746,Clippers,LAC,Los Angeles,240:00,91.9,93.3,88.5,93.3,3.4,-0.1,0.758,0.93,19.3,0.4,0.673,0.551,29.907,30.3,0.507,0.537,1.0,0.198,92.6,89.5,74.58,89,0.521
0021000342,1610612754,Pacers,IND,Indiana,240:00,85.5,89.2,103.2,104.3,-17.7,-15.1,0.633,1.36,15.7,0.196,0.75,0.453,14.427,15.1,0.42,0.471,1.0,0.2,95.5,93.0,77.5,93,0.375
0021000342,1610612737,Hawks,ATL,Atlanta,240:00,103.2,104.3,85.5,89.2,17.7,15.1,0.758,1.67,19.5,0.25,0.804,0.547,15.964,16.1,0.479,0.551,1.0,0.198,95.5,93.0,77.5,93,0.625
0021000343,1610612766,Bobcats,CHA,Charlotte,240:00,67.3,68.1,101.8,101.1,-34.5,-33.0,0.708,0.77,14.2,0.264,0.674,0.448,23.882,24.2,0.345,0.382,1.0,0.2,91.72,91.5,76.25,91,0.194
0021000343,1610612738,Celtics,BOS,Boston,240:00,101.8,101.1,67.3,68.1,34.5,33.0,0.677,1.11,17.0,0.326,0.736,0.552,20.806,20.7,0.493,0.558,1.0,0.199,91.72,91.5,76.25,92,0.806
0021000344,1610612761,Raptors,TOR,Toronto,240:00,124.0,126.3,119.4,122.1,4.6,4.2,0.5,1.22,17.9,,0.617,,18.603,18.9,0.693,0.725,1.0,0.198,96.94,95.0,79.17,95,0.539
0021000344,1610612765,Pistons,DET,Detroit,240:00,119.4,122.1,124.0,126.3,-4.6,-4.2,0.638,2.31,21.1,0.383,,,13.386,13.7,0.562,0.585,1.0,0.196,96.94,95.0,79.17,95,0.461
0021000345,1610612750,Timberwolves,MIN,Minnesota,240:00,83.1,85.4,117.9,116.5,-34.8,-31.1,0.364,0.57,9.9,0.288,0.596,0.434,21.272,21.9,0.44,0.462,1.0,0.199,97.3,96.5,80.42,96,0.248
0021000345,1610612741,Bulls,CHI,Chicago,240:00,117.9,116.5,83.1,85.4,34.8,31.1,0.683,1.87,19.9,0.404,0.712,0.566,15.645,15.5,0.535,0.577,1.0,0.2,97.3,96.5,80.42,97,0.752
