GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0020900256,1610612744,Warriors,GSW,Golden State,240:00,98.6,101.9,127.3,127.4,-28.7,-25.5,0.366,1.07,11.2,0.259,0.533,0.384,12.896,13.3,0.468,0.512,1.0,0.199,107.32,105.5,87.92,105,0.319
0020900256,1610612743,Nuggets,DEN,Denver,240:00,127.3,127.4,98.6,101.9,28.7,25.5,0.577,2.0,19.5,0.467,0.741,0.616,14.14,14.2,0.563,0.619,1.0,0.2,107.32,105.5,87.92,106,0.681
0020900257,1610612757,Trail Blazers,POR,Portland,240:00,109.8,113.6,119.0,120.2,-9.3,-6.6,0.588,1.82,15.1,0.456,0.763,0.579,12.077,12.5,0.437,0.495,1.0,0.202,90.48,88.5,73.75,88,0.43
0020900257,1610612748,Heat,MIA,Miami,240:00,119.0,120.2,109.8,113.6,9.3,6.6,0.6,2.67,20.0,0.237,0.544,0.421,10.013,10.1,0.58,0.616,1.0,0.198,90.48,88.5,73.75,89,0.57
0020900258,1610612740,Hornets,NOH,New Orleans,240:00,99.4,101.0,107.3,112.2,-7.9,-11.2,0.659,1.8,20.1,0.261,0.795,0.506,15.06,15.3,0.5,0.535,1.0,0.201,101.06,98.0,81.67,98,0.426
0020900258,1610612747,Lakers,LAL,Los Angeles,240:00,107.3,112.2,99.4,101.0,7.9,11.2,0.684,1.53,19.9,0.205,0.739,0.494,16.582,17.3,0.562,0.628,1.0,0.197,101.06,98.0,81.67,98,0.574
0020900259,1610612761,Raptors,TOR,Toronto,240:00,117.4,118.6,147.2,150.5,-29.8,-32.0,0.595,2.78,19.1,0.245,0.55,0.382,9.187,9.3,0.573,0.593,1.0,0.202,98.56,97.0,80.83,97,0.355
0020900259,1610612737,Hawks,ATL,Atlanta,240:00,147.2,150.5,117.4,118.6,29.8,32.0,0.712,4.11,24.5,0.45,0.755,0.618,9.076,9.3,0.653,0.694,1.0,0.2,98.56,97.0,80.83,97,0.645
0020900260,1610612756,Suns,PHX,Phoenix,240:00,94.5,94.7,111.4,111.5,-16.9,-16.7,0.656,1.24,16.5,0.245,0.653,0.449,17.85,17.9,0.463,0.504,1.0,0.198,95.64,95.5,79.58,95,0.381
0020900260,1610612739,Cavaliers,CLE,Cleveland,240:00,111.4,111.5,94.5,94.7,16.9,16.7,0.644,2.64,20.7,0.347,0.755,0.551,11.454,11.5,0.516,0.535,1.0,0.198,95.64,95.5,79.58,96,0.619
0020900261,1610612753,Magic,ORL,Orlando,240:00,120.2,120.4,105.9,106.1,14.3,14.3,0.605,1.37,19.1,0.359,,,19.348,19.4,0.615,0.647,1.0,0.198,98.22,98.0,81.67,98,0.618
0020900261,1610612752,Knicks,NYK,New York,240:00,105.9,106.1,120.2,120.4,-14.3,-14.3,0.385,0.83,11.9,,0.641,,18.322,18.4,0.524,0.558,1.0,0.196,98.22,98.0,81.67,98,0.382
0020900262,1610612764,Wizards,WAS,Washington,240:00,105.1,106.1,98.8,103.0,6.3,3.1,0.553,1.24,17.1,0.111,0.778,0.511,17.179,17.3,0.564,0.612,1.0,0.198,101.12,98.5,82.08,98,0.572
0020900262,1610612749,Bucks,MIL,Milwaukee,240:00,98.8,103.0,105.1,106.1,-6.3,-3.1,0.548,2.56,17.4,0.222,0.889,0.489,8.714,9.1,0.489,0.509,1.0,0.198,101.12,98.5,82.08,99,0.428
0020900263,1610612751,Nets,NJN,New Jersey,240:00,103.0,105.2,124.5,124.5,-21.5,-19.3,0.529,1.29,14.6,0.261,0.667,0.43,14.274,14.6,0.481,0.554,1.0,0.196,96.04,95.0,79.17,96,0.397
0020900263,1610612742,Mavericks,DAL,Dallas,240:00,124.5,124.5,103.0,105.2,21.5,19.3,0.659,1.61,21.8,0.333,0.739,0.57,19.149,19.1,0.64,0.68,1.0,0.202,96.04,95.0,79.17,94,0.603
0020900264,1610612765,Pistons,DET,Detroit,240:00,94.8,96.6,104.3,104.5,-9.5,-8.0,0.567,1.13,13.7,0.404,0.641,0.505,16.734,17.0,0.41,0.464,1.0,0.201,88.92,88.0,73.33,88,0.372
0020900264,1610612741,Bulls,CHI,Chicago,240:00,104.3,104.5,94.8,96.6,9.5,8.0,0.727,1.33,19.3,0.359,0.596,0.495,20.408,20.5,0.507,0.56,1.0,0.2,88.92,88.0,73.33,88,0.628
0020900265,1610612750,Timberwolves,MIN,Minnesota,240:00,102.2,104.4,105.3,105.4,-3.2,-1.0,0.568,1.4,17.4,0.244,0.756,0.512,16.129,16.5,0.527,0.559,1.0,0.198,92.54,91.5,76.25,91,0.463
0020900265,1610612763,Grizzlies,MEM,Memphis,240:00,105.3,105.4,102.2,104.4,3.2,1.0,0.529,1.8,15.4,0.244,0.756,0.488,10.86,10.9,0.493,0.544,1.0,0.2,92.54,91.5,76.25,92,0.537
0020900266,1610612755,76ers,PHI,Philadelphia,240:00,116.0,115.2,127.0,128.6,-11.0,-13.4,0.432,1.0,14.0,0.27,0.523,0.407,17.513,17.4,0.595,0.644,1.0,0.199,91.74,91.5,76.25,92,0.439
0020900266,1610612760,Thunder,OKC,Oklahoma City,240:00,127.0,128.6,116.0,115.2,11.0,13.4,0.581,1.67,18.5,0.477,0.73,0.593,16.283,16.5,0.576,0.615,1.0,0.2,91.74,91.5,76.25,91,0.561
0020900267,1610612758,Kings,SAC,Sacramento,240:00,108.9,111.1,106.1,107.1,2.9,4.0,0.683,1.47,20.1,0.341,0.564,0.465,18.812,19.2,0.562,0.598,1.0,0.2,100.0,98.5,82.08,99,0.597
0020900267,1610612754,Pacers,IND,Indiana,240:00,106.1,107.1,108.9,111.1,-2.9,-4.0,0.3,0.67,9.0,0.436,0.659,0.535,18.182,18.4,0.473,0.51,1.0,0.2,100.0,98.5,82.08,98,0.403
0020900268,1610612746,Clippers,LAC,Los Angeles,240:00,95.1,94.4,114.0,113.3,-18.9,-18.9,0.529,1.13,15.3,0.286,0.692,0.481,17.905,17.8,0.46,0.51,1.0,0.199,89.42,90.0,75.0,90,0.463
0020900268,1610612745,Rockets,HOU,Houston,240:00,114.0,113.3,95.1,94.4,18.9,18.9,0.526,1.11,16.6,0.308,0.714,0.519,20.116,20.0,0.587,0.618,1.0,0.199,89.42,90.0,75.0,90,0.537
