GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0041200223,1610612760,Thunder,OKC,Oklahoma City,240:00,84.1,85.3,93.2,92.6,-9.2,-7.3,0.313,0.71,8.3,0.322,,,14.529,14.7,0.392,0.42,1.0,0.198,94.84,94.5,78.75,95,0.378
0041200223,1610612763,Grizzlies,MEM,Memphis,240:00,93.2,92.6,84.1,85.3,9.2,7.3,0.533,1.33,14.0,,0.678,,12.859,12.8,0.432,0.504,1.0,0.197,94.84,94.5,78.75,94,0.622
0041200224,1610612760,Thunder,OKC,Oklahoma City,265:00,101.4,102.1,107.6,108.4,-6.2,-6.3,0.559,1.27,15.5,0.234,0.696,0.485,15.677,15.8,0.487,0.547,1.0,0.201,86.69,86.04,71.7,95,0.477
0041200224,1610612763,Grizzlies,MEM,Memphis,265:00,107.6,108.4,101.4,102.1,6.2,6.3,0.5,2.57,14.2,0.304,0.766,0.515,7.31,7.4,0.438,0.506,1.0,0.2,86.69,86.04,71.7,95,0.523
0041200225,1610612760,Thunder,OKC,Oklahoma City,240:00,89.1,94.4,91.9,100.0,-2.8,-5.6,0.613,1.46,15.1,0.293,0.712,0.491,13.795,14.6,0.4,0.446,1.0,0.198,95.0,88.5,73.75,89,0.394
0041200225,1610612763,Grizzlies,MEM,Memphis,240:00,91.9,100.0,89.1,94.4,2.8,5.6,0.6,1.8,14.8,0.288,0.707,0.509,10.443,11.4,0.389,0.469,1.0,0.197,95.0,88.5,73.75,88,0.606
0041200231,1610612759,Spurs,SAS,San Antonio,290:00,109.0,109.3,106.2,106.7,2.8,2.6,0.565,1.86,16.5,0.267,0.691,0.47,11.832,11.9,0.5,0.55,1.0,0.201,98.43,98.07,81.72,118,0.513
0041200231,1610612744,Warriors,GSW,Golden State,290:00,106.2,106.7,109.0,109.3,-2.8,-2.6,0.451,1.1,14.9,0.309,0.733,0.53,17.564,17.6,0.565,0.574,1.0,0.201,98.43,98.07,81.72,119,0.487
0041200232,1610612759,Spurs,SAS,San Antonio,240:00,98.3,101.1,111.4,109.9,-13.0,-8.8,0.4,1.4,11.3,0.339,0.688,0.495,10.804,11.1,0.421,0.457,1.0,0.199,91.18,90.5,75.42,90,0.419
0041200232,1610612744,Warriors,GSW,Golden State,240:00,111.4,109.9,98.3,101.1,13.0,8.8,0.5,1.9,15.6,0.313,0.661,0.505,11.136,11.0,0.518,0.539,1.0,0.198,91.18,90.5,75.42,91,0.581
