GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0020701171,1610612760,SuperSonics,SEA,Seattle,240:00,83.9,86.0,113.8,110.8,-29.9,-24.7,0.531,1.89,13.9,0.237,,,9.438,9.7,0.375,0.415,1.0,0.197,92.92,93.0,77.5,93,0.352
0020701171,1610612745,Rockets,HOU,Houston,240:00,113.8,110.8,83.9,86.0,29.9,24.7,0.692,1.59,21.5,,0.763,,18.789,18.3,0.608,0.632,1.0,0.201,92.92,93.0,77.5,93,0.648
0020701172,1610612759,Spurs,SAS,San Antonio,240:00,87.9,88.8,107.1,109.1,-19.2,-20.3,0.441,1.15,13.2,0.25,0.763,0.477,14.47,14.6,0.432,0.46,1.0,0.2,89.72,88.5,73.75,89,0.354
0020701172,1610612756,Suns,PHX,Phoenix,240:00,107.1,109.1,87.9,88.8,19.2,20.3,0.475,1.58,16.6,0.237,0.75,0.523,13.393,13.6,0.545,0.574,1.0,0.199,89.72,88.5,73.75,88,0.646
0020701173,1610612744,Warriors,GSW,Golden State,240:00,95.8,98.1,107.2,106.5,-11.4,-8.4,0.595,1.39,16.3,0.349,0.837,0.547,16.429,16.8,0.45,0.475,1.0,0.198,107.94,107.0,89.17,107,0.419
0020701173,1610612743,Nuggets,DEN,Denver,240:00,107.2,106.5,95.8,98.1,11.4,8.4,0.5,1.31,15.9,0.163,0.651,0.453,15.049,15.0,0.56,0.598,1.0,0.199,107.94,107.0,89.17,107,0.581
0020701174,1610612762,Jazz,UTA,Utah,240:00,110.4,111.9,114.1,116.9,-3.7,-5.0,0.595,2.75,18.9,0.295,0.767,0.529,9.394,9.5,0.513,0.545,1.0,0.2,85.08,83.5,69.58,84,0.48
0020701174,1610612742,Mavericks,DAL,Dallas,240:00,114.1,116.9,110.4,111.9,3.7,5.0,0.515,2.43,15.6,0.233,0.705,0.471,8.235,8.4,0.5,0.571,1.0,0.198,85.08,83.5,69.58,83,0.52
0020701175,1610612747,Lakers,LAL,Los Angeles,240:00,113.3,116.5,83.1,85.7,30.2,30.8,0.625,3.13,19.9,0.244,0.644,0.471,8.551,8.8,0.555,0.573,1.0,0.199,93.72,91.0,75.83,91,0.705
0020701175,1610612746,Clippers,LAC,Los Angeles,240:00,83.1,85.7,113.3,116.5,-30.2,-30.8,0.567,1.21,13.5,0.356,0.756,0.529,14.913,15.4,0.373,0.411,1.0,0.198,93.72,91.0,75.83,91,0.295
0020701176,1610612761,Raptors,TOR,Toronto,240:00,128.0,125.6,92.7,93.4,35.3,32.1,0.658,2.78,19.5,,0.7,,10.195,10.0,0.532,0.599,1.0,0.201,89.98,90.5,75.42,90,0.687
0020701176,1610612751,Nets,NJN,New Jersey,240:00,92.7,93.4,128.0,125.6,-35.3,-32.1,0.529,1.64,15.0,0.3,,,11.998,12.1,0.438,0.469,1.0,0.203,89.98,90.5,75.42,91,0.313
0020701177,1610612755,76ers,PHI,Philadelphia,240:00,76.6,77.6,84.9,85.9,-8.4,-8.3,0.545,1.64,13.5,0.279,0.787,0.487,11.084,11.2,0.353,0.365,1.0,0.201,99.66,98.5,82.08,98,0.404
0020701177,1610612754,Pacers,IND,Indiana,240:00,84.9,85.9,76.6,77.6,8.4,8.3,0.676,1.25,19.1,0.213,0.721,0.513,19.984,20.2,0.488,0.494,1.0,0.2,99.66,98.5,82.08,99,0.596
0020701178,1610612753,Magic,ORL,Orlando,240:00,108.8,108.6,107.6,108.5,1.2,0.1,0.641,1.79,20.2,,0.653,,15.086,15.1,0.592,0.596,1.0,0.198,93.8,93.5,77.92,93,0.517
