GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021000421,1610612739,Cavaliers,CLE,Cleveland,240:00,98.0,96.6,110.9,114.0,-12.9,-17.4,0.647,2.44,18.7,0.234,0.721,0.467,10.499,10.3,0.451,0.484,1.0,0.201,87.06,86.5,72.08,87,0.413
0021000421,1610612737,Hawks,ATL,Atlanta,240:00,110.9,114.0,98.0,96.6,12.9,17.4,0.69,2.9,22.9,0.279,0.766,0.533,11.312,11.6,0.554,0.561,1.0,0.191,87.06,86.5,72.08,86,0.587
0021000422,1610612761,Raptors,TOR,Toronto,240:00,93.8,95.9,116.9,118.6,-23.1,-22.7,0.743,1.08,20.5,0.147,0.75,0.487,24.213,24.7,0.56,0.603,1.0,0.198,98.74,97.0,80.83,97,0.408
0021000422,1610612765,Pistons,DET,Detroit,240:00,116.9,118.6,93.8,95.9,23.1,22.7,0.587,3.38,20.2,0.25,0.853,0.513,8.133,8.2,0.556,0.585,1.0,0.199,98.74,97.0,80.83,97,0.592
0021000423,1610612764,Wizards,WAS,Washington,240:00,84.8,86.0,89.0,92.6,-4.2,-6.5,0.567,1.06,14.1,0.224,0.667,0.436,16.956,17.2,0.405,0.458,1.0,0.197,96.06,93.5,77.92,93,0.433
0021000423,1610612741,Bulls,CHI,Chicago,240:00,89.0,92.6,84.8,86.0,4.2,6.5,0.581,0.86,14.4,0.333,0.776,0.564,21.481,22.3,0.438,0.507,1.0,0.199,96.06,93.5,77.92,94,0.567
0021000424,1610612755,76ers,PHI,Philadelphia,240:00,93.4,94.1,96.3,96.6,-2.9,-2.4,0.5,1.08,13.3,,0.692,,15.18,15.3,0.446,0.509,1.0,0.199,86.44,86.0,71.67,85,0.49
0021000424,1610612738,Celtics,BOS,Boston,240:00,96.3,96.6,93.4,94.1,2.9,2.4,0.613,1.9,16.1,0.308,,,11.463,11.5,0.425,0.471,1.0,0.202,86.44,86.0,71.67,87,0.51
0021000425,1610612760,Thunder,OKC,Oklahoma City,240:00,98.0,102.1,112.9,115.5,-14.9,-13.4,0.395,1.07,10.9,0.397,0.739,0.541,14.0,14.6,0.407,0.454,1.0,0.198,99.62,96.5,80.42,96,0.381
0021000425,1610612752,Knicks,NYK,New York,240:00,112.9,115.5,98.0,102.1,14.9,13.4,0.714,2.73,22.0,0.261,0.603,0.459,11.084,11.3,0.547,0.588,1.0,0.2,99.62,96.5,80.42,97,0.619
0021000426,1610612762,Jazz,UTA,Utah,240:00,110.5,109.8,102.1,103.9,8.4,5.9,0.676,1.39,18.2,,0.66,,17.758,17.6,0.5,0.593,1.0,0.196,103.06,102.5,85.42,102,0.625
0021000426,1610612750,Timberwolves,MIN,Minnesota,240:00,102.1,103.9,110.5,109.8,-8.4,-5.9,0.514,0.95,13.7,0.34,,,19.091,19.4,0.483,0.536,1.0,0.195,103.06,102.5,85.42,103,0.375
