GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0020700616,1610612756,Suns,PHX,Phoenix,240:00,114.2,115.1,121.9,127.2,-7.8,-12.1,0.762,2.0,24.9,0.182,0.481,0.365,17.072,17.2,0.627,0.663,1.0,0.199,94.84,92.5,77.08,93,0.474
0020700616,1610612750,Timberwolves,MIN,Minnesota,240:00,121.9,127.2,114.2,115.1,7.8,12.1,0.609,2.55,19.2,0.519,0.818,0.635,11.463,12.0,0.516,0.547,1.0,0.198,94.84,92.5,77.08,92,0.526
0020700617,1610612754,Pacers,IND,Indiana,240:00,91.3,95.0,106.7,106.9,-15.4,-11.9,0.625,1.05,15.0,0.264,0.745,0.5,18.269,19.0,0.44,0.505,1.0,0.198,102.6,100.5,83.75,100,0.427
0020700617,1610612741,Bulls,CHI,Chicago,240:00,106.7,106.9,91.3,95.0,15.4,11.9,0.475,1.36,14.6,0.255,0.736,0.5,13.834,13.9,0.512,0.556,1.0,0.198,102.6,100.5,83.75,101,0.573
0020700618,1610612759,Spurs,SAS,San Antonio,240:00,112.1,112.0,96.6,97.8,15.5,14.1,0.575,2.88,18.6,0.204,0.659,0.419,8.703,8.7,0.535,0.554,1.0,0.198,93.08,92.5,77.08,92,0.593
0020700618,1610612747,Lakers,LAL,Los Angeles,240:00,96.6,97.8,112.1,112.0,-15.5,-14.1,0.486,0.77,13.8,0.341,0.796,0.581,23.345,23.7,0.5,0.54,1.0,0.2,93.08,92.5,77.08,93,0.407
0020700619,1610612743,Nuggets,DEN,Denver,240:00,101.3,100.0,92.2,94.3,9.1,5.7,0.765,1.53,18.9,0.174,0.694,0.472,16.098,15.9,0.474,0.566,1.0,0.203,107.02,106.5,88.75,107,0.55
0020700619,1610612737,Hawks,ATL,Atlanta,240:00,92.2,94.3,101.3,100.0,-9.1,-5.7,0.763,1.93,19.0,0.306,0.826,0.528,13.833,14.2,0.418,0.461,1.0,0.201,107.02,106.5,88.75,106,0.45
0020700620,1610612760,SuperSonics,SEA,Seattle,240:00,112.8,116.3,113.0,119.8,-0.2,-3.5,0.548,2.3,18.3,0.341,0.698,0.543,10.54,10.9,0.525,0.576,1.0,0.198,95.66,91.5,76.25,92,0.517
0020700620,1610612745,Rockets,HOU,Houston,240:00,113.0,119.8,112.8,116.3,0.2,3.5,0.683,3.5,20.7,0.302,0.659,0.457,8.295,8.8,0.528,0.548,1.0,0.195,95.66,91.5,76.25,91,0.483
0020700621,1610612758,Kings,SAC,Sacramento,240:00,87.2,88.5,113.5,115.6,-26.4,-27.1,0.645,0.91,15.3,0.302,0.596,0.44,22.559,22.9,0.459,0.48,1.0,0.197,97.64,96.0,80.0,96,0.3
0020700621,1610612746,Clippers,LAC,Los Angeles,240:00,113.5,115.6,87.2,88.5,26.4,27.1,0.732,2.31,21.0,0.404,0.698,0.56,13.298,13.5,0.494,0.556,1.0,0.2,97.64,96.0,80.0,96,0.7
0020700622,1610612759,Spurs,SAS,San Antonio,240:00,101.2,103.4,103.3,100.0,-2.1,3.4,0.657,1.64,19.3,,,,15.744,16.1,0.507,0.549,1.0,0.2,87.52,88.0,73.33,87,0.502
0020700622,1610612748,Heat,MIA,Miami,240:00,103.3,100.0,101.2,103.4,2.1,-3.4,0.472,1.55,15.3,,,,12.773,12.4,0.521,0.535,1.0,0.2,87.52,88.0,73.33,89,0.498
0020700623,1610612749,Bucks,MIL,Milwaukee,240:00,115.1,116.9,101.7,102.2,13.4,14.6,0.769,3.0,22.8,0.304,0.717,0.511,11.067,11.2,0.542,0.569,1.0,0.199,90.42,89.5,74.58,89,0.569
0020700623,1610612754,Pacers,IND,Indiana,240:00,101.7,102.2,115.1,116.9,-13.4,-14.6,0.813,1.73,20.6,0.283,0.696,0.489,16.578,16.7,0.481,0.538,1.0,0.199,90.42,89.5,74.58,90,0.431
0020700624,1610612751,Nets,NJN,New Jersey,240:00,110.6,115.5,117.9,117.5,-7.3,-1.9,0.707,1.71,18.2,0.435,,,15.799,16.5,0.469,0.524,1.0,0.196,105.12,103.0,85.83,103,0.463
0020700624,1610612744,Warriors,GSW,Golden State,240:00,117.9,117.5,110.6,115.5,7.3,1.9,0.595,2.08,18.7,,0.565,,11.691,11.7,0.566,0.626,1.0,0.201,105.12,103.0,85.83,103,0.537
0020700625,1610612761,Raptors,TOR,Toronto,240:00,123.3,124.7,88.6,87.2,34.7,37.5,0.605,1.92,19.0,0.333,0.673,0.523,13.953,14.1,0.56,0.616,1.0,0.196,85.34,85.5,71.25,85,0.767
0020700625,1610612749,Bucks,MIL,Milwaukee,240:00,88.6,87.2,123.3,124.7,-34.7,-37.5,0.355,0.73,10.1,0.327,0.667,0.477,17.714,17.4,0.445,0.454,1.0,0.203,85.34,85.5,71.25,86,0.233
0020700626,1610612764,Wizards,WAS,Washington,240:00,105.1,107.2,96.2,96.9,8.9,10.3,0.585,1.2,17.4,0.391,0.75,0.574,20.202,20.6,0.524,0.553,1.0,0.198,97.84,96.5,80.42,97,0.587
0020700626,1610612763,Grizzlies,MEM,Memphis,240:00,96.2,96.9,105.1,107.2,-8.9,-10.3,0.485,0.8,13.0,0.25,0.609,0.426,20.687,20.8,0.494,0.536,1.0,0.199,97.84,96.5,80.42,96,0.413
0020700627,1610612756,Suns,PHX,Phoenix,240:00,123.0,120.9,113.8,118.7,9.2,2.2,0.806,2.07,23.9,0.125,0.585,0.412,15.653,15.4,0.664,0.701,1.0,0.201,92.16,91.0,75.83,91,0.56
0020700627,1610612739,Cavaliers,CLE,Cleveland,240:00,113.8,118.7,123.0,120.9,-9.2,-2.2,0.512,2.1,15.8,0.415,0.875,0.588,10.54,11.0,0.483,0.53,1.0,0.197,92.16,91.0,75.83,91,0.44
0020700628,1610612750,Timberwolves,MIN,Minnesota,240:00,91.5,92.5,93.3,93.5,-1.9,-1.1,0.471,1.23,13.4,0.24,0.667,0.435,13.824,14.0,0.446,0.478,1.0,0.198,93.62,93.0,77.5,93,0.456
0020700628,1610612738,Celtics,BOS,Boston,240:00,93.3,93.5,91.5,92.5,1.9,1.1,0.586,0.74,13.9,0.333,0.76,0.565,24.678,24.7,0.449,0.529,1.0,0.2,93.62,93.0,77.5,93,0.544
0020700629,1610612755,76ers,PHI,Philadelphia,240:00,98.3,98.8,102.7,108.5,-4.3,-9.8,0.424,1.4,12.7,0.333,0.556,0.441,12.142,12.2,0.436,0.469,1.0,0.199,84.52,82.0,68.33,82,0.422
0020700629,1610612752,Knicks,NYK,New York,240:00,102.7,108.5,98.3,98.8,4.3,9.8,0.629,1.47,17.9,0.444,0.667,0.559,17.305,18.3,0.493,0.519,1.0,0.193,84.52,82.0,68.33,82,0.578
0020700630,1610612753,Magic,ORL,Orlando,240:00,104.3,106.9,115.5,113.5,-11.1,-6.6,0.516,1.6,14.1,0.2,0.585,0.384,11.216,11.5,0.486,0.534,1.0,0.196,88.32,88.0,73.33,87,0.422
0020700630,1610612765,Pistons,DET,Detroit,240:00,115.5,113.5,104.3,106.9,11.1,6.6,0.61,1.79,19.6,0.415,0.8,0.616,16.004,15.7,0.537,0.571,1.0,0.199,88.32,88.0,73.33,89,0.578
